sensor_key,distance_threshold,outlier_threshold,remove_intersections,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J)
cc6,8500.0,2.0,0.0,86400.0,660.0,174.0,227.0,486.0,18349.8,3305.0,48096.8,18.2421,27.225,45229.1,2673.0,7.04,142.212
cc3,8500.0,2.0,0.0,86400.0,658.0,164.0,213.0,494.0,20238.0,3115.0,48107.6,12.65,18.15,45250.7,2673.0,3.52,149.588
cc4,8500.0,2.0,0.0,86400.0,655.0,234.0,275.0,421.0,24000.2,4445.0,48107.6,14.025,18.15,45248.0,2673.0,3.52,150.983
ec7,8500.0,2.0,0.0,86400.0,658.0,285.0,319.0,373.0,27031.0,5414.0,48095.7,32.2508,36.3,45192.8,2673.0,8.8,152.55
t1-1,8500.0,2.0,0.0,86400.0,658.0,311.0,345.0,347.0,23525.1,5908.0,48093.2,32.5324,36.3,45192.2,2673.0,8.8,150.307
t2-2,8500.0,2.0,0.0,86400.0,658.0,310.0,339.0,348.0,28278.4,5889.0,48102.2,24.8521,27.225,45215.8,2673.0,7.04,154.222
t11-4,8500.0,2.0,0.0,86400.0,656.0,227.0,266.0,429.0,25304.4,4312.0,48096.8,20.9,18.15,45234.2,2673.0,3.52,147.062
cc9,8500.0,2.0,0.0,86400.0,654.0,312.0,345.0,342.0,26106.1,5927.0,48101.6,15.4,18.15,45245.2,2673.0,3.52,146.319
t3-2,8500.0,2.0,0.0,86400.0,655.0,179.0,223.0,476.0,23440.9,3400.0,48093.9,23.1,18.15,45229.8,2673.0,3.52,146.357
t2-3,8500.0,2.0,0.0,86400.0,657.0,207.0,256.0,450.0,16476.3,3932.0,48096.9,23.1,18.15,45229.8,2673.0,3.52,149.296
cc5,8500.0,2.0,0.0,86400.0,659.0,193.0,245.0,466.0,16301.8,3666.0,48085.8,29.1625,27.225,45207.2,2673.0,7.04,142.101
ec3,8500.0,2.0,0.0,86400.0,659.0,150.0,207.0,509.0,13972.3,2849.0,48088.4,32.3294,36.3,45192.6,2673.0,8.8,145.376
m17,8500.0,2.0,0.0,86400.0,657.0,408.0,436.0,249.0,23723.6,7751.0,48094.6,29.3065,36.3,45198.7,2673.0,8.8,148.529
ec2,8500.0,2.0,0.0,86400.0,659.0,229.0,275.0,430.0,18619.6,4350.0,48095.8,28.6715,27.225,45208.2,2673.0,7.04,151.702
cc11,4500.0,1.0,1.0,86400.0,658.0,160.0,211.0,498.0,19899.2,3039.0,48102.8,11.55,9.075,45261.2,2673.0,1.76,146.279
ec8,4500.0,1.0,1.0,86400.0,659.0,276.0,316.0,383.0,22749.1,5243.0,48096.5,27.9024,36.3,45201.5,2673.0,8.8,149.008
t1-2,4500.0,1.0,1.0,86400.0,659.0,220.0,261.0,439.0,25896.8,4179.0,48107.8,22.6399,27.225,45220.3,2673.0,7.04,157.643
t2-4,4500.0,1.0,1.0,86400.0,660.0,260.0,293.0,400.0,31778.8,4939.0,48111.3,12.65,9.075,45256.8,2673.0,3.52,156.265
t3-1,4500.0,1.0,1.0,86400.0,660.0,268.0,306.0,392.0,26829.2,5091.0,48108.9,14.0991,27.225,45237.4,2673.0,7.04,150.214
t4,4500.0,1.0,1.0,86400.0,653.0,250.0,281.0,403.0,35860.7,4749.0,48111.3,11.55,9.075,45261.2,2673.0,1.76,154.729
t5-2,4500.0,1.0,1.0,86400.0,658.0,324.0,353.0,334.0,30337.6,6155.0,48117.8,9.9,18.15,45256.2,2673.0,3.52,157.056
t6,4500.0,1.0,1.0,86400.0,658.0,253.0,288.0,405.0,30120.2,4806.0,48110.0,11.55,9.075,45261.2,2673.0,1.76,153.427
t7-2,4500.0,1.0,1.0,86400.0,659.0,400.0,421.0,259.0,34957.3,7599.0,48104.2,26.4115,27.225,45212.7,2673.0,7.04,157.786
t8-2,4500.0,1.0,1.0,86400.0,654.0,257.0,292.0,397.0,28276.3,4882.0,48112.9,9.9,18.15,45256.2,2673.0,3.52,152.084
t9,4500.0,1.0,1.0,86400.0,658.0,331.0,356.0,327.0,35361.9,6288.0,48110.3,11.275,18.15,45253.5,2673.0,3.52,150.897
t10,4500.0,1.0,1.0,86400.0,658.0,418.0,439.0,240.0,31380.1,7941.0,48103.7,24.2205,36.3,45208.9,2673.0,8.8,152.488
t11-5,4500.0,1.0,1.0,86400.0,657.0,385.0,408.0,272.0,30559.6,7314.0,48106.1,14.025,18.15,45248.0,2673.0,3.52,149.477
t12-2,4500.0,1.0,1.0,86400.0,659.0,206.0,249.0,453.0,23581.3,3913.0,48101.4,12.5766,9.075,45256.9,2673.0,3.52,146.336
t13-2,4500.0,1.0,1.0,86400.0,660.0,172.0,215.0,488.0,29486.7,3267.0,48086.7,35.2624,27.225,45195.0,2673.0,7.04,149.157
t13-3,4500.0,1.0,1.0,86400.0,655.0,391.0,412.0,264.0,32941.2,7428.0,48122.1,9.9,18.15,45256.2,2673.0,3.52,161.348
t13-4,4500.0,1.0,1.0,86400.0,659.0,425.0,444.0,234.0,35083.1,8074.0,48108.9,19.7479,27.225,45226.1,2673.0,7.04,155.82
t15,4500.0,1.0,1.0,86400.0,658.0,389.0,407.0,269.0,39385.8,7390.0,48117.6,11.55,9.075,45261.2,2673.0,1.76,161.056
t16,4500.0,1.0,1.0,86400.0,660.0,384.0,408.0,276.0,33512.7,7295.0,48113.9,10.9773,18.15,45251.8,2673.0,5.28,154.624
t18,4500.0,1.0,1.0,86400.0,659.0,255.0,292.0,404.0,26994.4,4844.0,48099.4,15.3685,18.15,45243.1,2673.0,5.28,144.583
m2,4500.0,1.0,1.0,86400.0,658.0,358.0,386.0,300.0,28178.0,6801.0,48110.2,11.275,18.15,45253.5,2673.0,3.52,150.796
m3,4500.0,1.0,1.0,86400.0,657.0,371.0,400.0,286.0,24813.8,7048.0,48090.1,32.4078,36.3,45192.5,2673.0,8.8,147.079
m4,4500.0,1.0,1.0,86400.0,655.0,274.0,305.0,381.0,33215.6,5205.0,48115.1,9.9,18.15,45256.2,2673.0,3.52,154.297
m5,4500.0,1.0,1.0,86400.0,653.0,245.0,289.0,408.0,20992.3,4654.0,48101.9,11.275,18.15,45253.5,2673.0,3.52,142.472
m6,4500.0,1.0,1.0,86400.0,658.0,305.0,342.0,353.0,22920.6,5794.0,48107.4,11.275,18.15,45253.5,2673.0,3.52,147.994
m8,4500.0,1.0,1.0,86400.0,659.0,276.0,311.0,383.0,27940.3,5243.0,48111.3,12.0656,27.225,45241.4,2673.0,7.04,150.534
m10,4500.0,1.0,1.0,86400.0,659.0,365.0,393.0,294.0,29818.2,6934.0,48107.5,14.9394,27.225,45235.7,2673.0,7.04,149.636
m11,4500.0,1.0,1.0,86400.0,655.0,274.0,311.0,381.0,22862.3,5205.0,48106.2,15.4,18.15,45245.2,2673.0,3.52,150.91
m13,4500.0,1.0,1.0,86400.0,658.0,320.0,350.0,338.0,27582.5,6079.0,48100.5,32.321,36.3,45192.7,2673.0,8.8,157.463
