sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J),LoRaWAN_Sleep_Energy (J),LoRaWAN_Sleep_Time (seconds),LoRaWAN_Standby_Energy (J),LoRaWAN_Standby_Time (seconds),LoRaWAN_TX_Energy (J),LoRaWAN_TX_Time (seconds),LoRaWAN_RX_Energy (J),LoRaWAN_RX_Time (seconds)
t2-2,10000.0,3.0,1.0,0.0,86400.0,655.0,213.0,263.0,442.0,6331.98,4046.0,48100.1,12.65,18.15,45250.7,2673.0,3.52,142.075,0.636825,84910.1,1.66349,237.642,121.314,866.525,18.4616,329.671
cc8,10000.0,3.0,1.0,0.0,86400.0,650.0,183.0,236.0,467.0,6357.12,3476.0,48099.3,11.275,18.15,45253.5,2673.0,3.52,139.868,0.637049,84939.9,1.80642,258.06,121.314,866.525,16.1114,287.703
t7-2,10000.0,3.0,1.0,0.0,86400.0,650.0,418.0,440.0,232.0,8993.4,7941.0,48111.8,11.275,18.15,45253.5,2673.0,3.52,152.448,0.635937,84791.6,1.24759,178.228,121.314,866.525,29.2505,522.33
cc10,10000.0,3.0,1.0,0.0,86400.0,655.0,181.0,238.0,474.0,3106.19,3438.0,48078.5,32.2359,36.3,45192.8,2673.0,8.8,135.344,0.636998,84933.1,1.97604,282.292,120.944,863.887,11.7863,210.469
cc6,10000.0,3.0,1.0,0.0,86400.0,656.0,222.0,273.0,434.0,4261.65,4217.0,48097.8,19.3389,27.225,45226.9,2673.0,7.04,144.369,0.636675,84890.0,1.55866,222.666,121.129,865.206,21.0452,375.808
t10,10000.0,3.0,1.0,0.0,86400.0,650.0,247.0,296.0,403.0,2445.92,4692.0,48107.5,12.65,18.15,45250.7,2673.0,3.52,149.493,0.636083,84811.1,1.49761,213.944,121.314,866.525,26.0456,465.101
t1-1,10000.0,3.0,1.0,0.0,86400.0,651.0,244.0,291.0,407.0,4998.42,4635.0,48101.2,15.4,18.15,45245.2,2673.0,3.52,145.887,0.63651,84868.0,1.44418,206.312,121.129,865.206,22.6775,404.955
ec7,10000.0,3.0,1.0,0.0,86400.0,655.0,406.0,429.0,249.0,10139.8,7713.0,48100.5,26.4219,27.225,45212.7,2673.0,7.04,154.104,0.635641,84752.2,1.16857,166.939,120.944,863.887,31.3557,559.923
cc3,4500.0,0.0,0.0,0.0,86400.0,660.0,377.0,404.0,283.0,10053.8,7162.0,48106.1,12.65,9.075,45256.8,2673.0,3.52,151.069,0.63676,84901.3,0.90595,129.421,121.867,870.482,27.6586,493.904
m1,4500.0,0.0,0.0,0.0,86400.0,653.0,559.0,567.0,94.0,5850.81,10620.0,48097.5,35.4517,27.225,45194.6,2673.0,7.04,160.115,0.635142,84685.6,0.220307,31.4724,120.575,861.25,38.6847,690.799
m8,4500.0,0.0,0.0,0.0,86400.0,655.0,378.0,407.0,277.0,7223.53,7181.0,48114.0,11.55,9.075,45261.2,2673.0,1.76,157.47,0.63604,84805.3,0.706617,100.945,121.683,869.163,34.4449,615.088
t15,4500.0,0.0,0.0,0.0,86400.0,659.0,445.0,466.0,214.0,7558.15,8454.0,48109.5,11.55,9.075,45261.2,2673.0,1.76,153.006,0.635802,84773.6,0.696052,99.436,121.867,870.482,29.807,532.267
