sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J),LoRaWAN_Sleep_Energy (J),LoRaWAN_Sleep_Time (seconds),LoRaWAN_Standby_Energy (J),LoRaWAN_Standby_Time (seconds),LoRaWAN_TX_Energy (J),LoRaWAN_TX_Time (seconds),LoRaWAN_RX_Energy (J),LoRaWAN_RX_Time (seconds)
t12-5,6000.0,0.0,0.0,0.0,86400.0,654.0,307.0,346.0,347.0,5669.5,5832.0,48109.0,11.275,18.15,45253.5,2673.0,3.52,149.627,0.636511,84868.1,1.12577,160.824,121.314,866.525,26.5512,474.128
m16,6000.0,0.0,0.0,0.0,86400.0,657.0,416.0,442.0,241.0,5806.6,7903.0,48112.7,20.4109,36.3,45216.5,2673.0,8.8,157.672,0.635427,84723.6,0.717546,102.507,121.314,866.525,35.0055,625.099
t13-1,6000.0,0.0,0.0,0.0,86400.0,642.0,639.0,639.0,3.0,2512.49,12140.0,48092.3,35.491,27.225,45194.6,2673.0,7.04,155.007,0.635846,84779.5,0.023781,3.39728,118.544,846.742,35.8033,639.345
t13-2,6000.0,0.0,0.0,0.0,86400.0,656.0,278.0,319.0,378.0,7534.97,5281.0,48108.4,9.9,18.15,45256.2,2673.0,3.52,147.59,0.63672,84896.0,1.23588,176.555,121.683,869.163,24.0349,429.195
t14-2,6000.0,0.0,0.0,0.0,86400.0,652.0,531.0,541.0,121.0,7289.3,10088.0,48109.5,22.7018,27.225,45220.1,2673.0,7.04,159.432,0.635359,84714.6,0.44089,62.9844,120.39,859.931,37.9659,677.962
t13-3,6000.0,0.0,0.0,0.0,86400.0,652.0,470.0,488.0,182.0,6673.43,8929.0,48112.1,11.275,18.15,45253.5,2673.0,3.52,152.717,0.636363,84848.4,0.82793,118.276,120.76,862.568,30.4928,544.514
ec1,6000.0,0.0,0.0,0.0,86400.0,642.0,639.0,639.0,3.0,2573.49,12140.0,48095.4,35.491,27.225,45194.6,2673.0,7.04,158.126,0.635418,84722.4,0.0345908,4.94155,118.544,846.742,38.9118,694.854
m13,6000.0,0.0,0.0,0.0,86400.0,653.0,333.0,368.0,320.0,6388.54,6326.0,48109.8,12.65,18.15,45250.7,2673.0,3.52,151.755,0.635654,84753.9,0.964727,137.818,121.129,865.206,29.0262,518.324
t11-1,6000.0,0.0,0.0,0.0,86400.0,642.0,639.0,639.0,3.0,2588.49,12140.0,48096.6,35.491,27.225,45194.6,2673.0,7.04,159.227,0.635279,84703.8,0.0260209,3.71727,118.544,846.742,40.022,714.678
cc10,6000.0,0.0,0.0,0.0,86400.0,650.0,519.0,531.0,131.0,6453.1,9860.0,48098.7,32.4117,27.225,45200.7,2673.0,7.04,158.34,0.635139,84685.2,0.518,74.0,120.021,857.293,37.1658,663.675
t13-4,5000.0,3.0,0.0,0.0,86400.0,657.0,119.0,181.0,538.0,5975.43,2260.0,48087.7,11.55,9.075,45261.2,2673.0,1.76,131.116,0.637769,85035.8,2.15242,307.488,121.498,867.844,6.82715,121.913
t13-2,5000.0,3.0,0.0,0.0,86400.0,657.0,127.0,191.0,530.0,2882.21,2412.0,48099.1,9.9,18.15,45256.2,2673.0,3.52,138.357,0.636999,84933.1,1.95789,279.698,121.683,869.163,14.0796,251.421
