gw_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,gw_latitude,gw_longitude,gw_altitude
2,500.0,0,0,0.0,41.350833,27.35166700000001,43.0
0,500.0,0,0,0.0,41.19982803185759,27.473819147512003,67.0
3,500.0,0,0,0.0,41.634722,27.653889000000003,276.0
4,500.0,0,0,0.0,41.4,27.966667,141.0
5,500.0,0,0,0.0,40.863889,26.238889000000004,4.0
6,500.0,0,0,0.0,41.497222,27.944444,189.0
7,500.0,0,0,0.0,41.427778,27.1,48.0
8,500.0,0,0,0.0,41.21,27.11805600000001,41.0
9,500.0,0,0,0.0,41.305556,27.608056,78.0
10,500.0,0,0,0.0,41.129721999999994,26.48,8.0
11,500.0,0,0,0.0,41.31,27.7875,103.0
12,500.0,0,0,0.0,40.8873,26.908,202.0
13,500.0,0,0,0.0,40.774871999999995,26.345046000000004,32.0
14,500.0,0,0,0.0,41.3513,27.3108,44.0
15,500.0,0,0,0.0,41.2726,26.7056,44.0
16,500.0,0,0,0.0,40.95850000000001,27.496500000000005,4.0
17,500.0,0,0,0.0,41.1798,27.816,142.0
18,500.0,0,0,0.0,41.7382,27.2178,228.0
19,500.0,0,0,0.0,41.6767,26.5508,48.0
20,500.0,0,0,0.0,41.288187,27.994754000000004,162.0
21,500.0,0,0,0.0,41.04362499999999,27.093532,73.0
22,500.0,0,0,0.0,41.34999400000001,27.703401,99.0
23,500.0,0,0,0.0,41.627037,27.511929,182.0
24,500.0,0,0,0.0,41.63612,28.092597999999995,15.0
0,500.0,1,0,0.0,41.19982803185759,27.473819147512003,67.0
2,500.0,0,1,0.0,41.350833,27.35166700000001,43.0
0,500.0,0,1,0.0,41.19982803185759,27.473819147512003,67.0
3,500.0,0,1,0.0,41.634722,27.653889000000003,276.0
4,500.0,0,1,0.0,41.4,27.966667,141.0
5,500.0,0,1,0.0,40.863889,26.238889000000004,4.0
6,500.0,0,1,0.0,41.497222,27.944444,189.0
7,500.0,0,1,0.0,41.427778,27.1,48.0
8,500.0,0,1,0.0,41.21,27.11805600000001,41.0
9,500.0,0,1,0.0,41.305556,27.608056,78.0
10,500.0,0,1,0.0,41.129721999999994,26.48,8.0
11,500.0,0,1,0.0,41.31,27.7875,103.0
12,500.0,0,1,0.0,40.8873,26.908,202.0
13,500.0,0,1,0.0,40.774871999999995,26.345046000000004,32.0
14,500.0,0,1,0.0,41.3513,27.3108,44.0
15,500.0,0,1,0.0,41.2726,26.7056,44.0
16,500.0,0,1,0.0,40.95850000000001,27.496500000000005,4.0
17,500.0,0,1,0.0,41.1798,27.816,142.0
18,500.0,0,1,0.0,41.7382,27.2178,228.0
19,500.0,0,1,0.0,41.6767,26.5508,48.0
20,500.0,0,1,0.0,41.288187,27.994754000000004,162.0
21,500.0,0,1,0.0,41.04362499999999,27.093532,73.0
22,500.0,0,1,0.0,41.34999400000001,27.703401,99.0
23,500.0,0,1,0.0,41.627037,27.511929,182.0
24,500.0,0,1,0.0,41.63612,28.092597999999995,15.0
0,500.0,1,1,0.0,41.19982803185759,27.473819147512003,67.0
2,1000.0,0,0,0.0,41.350833,27.35166700000001,43.0
0,1000.0,0,0,0.0,41.198839873358324,27.473945990831442,67.0
3,1000.0,0,0,0.0,41.634722,27.653889000000003,276.0
4,1000.0,0,0,0.0,41.4,27.966667,141.0
5,1000.0,0,0,0.0,40.863889,26.238889000000004,4.0
6,1000.0,0,0,0.0,41.497222,27.944444,189.0
7,1000.0,0,0,0.0,41.427778,27.1,48.0
8,1000.0,0,0,0.0,41.21,27.11805600000001,41.0
9,1000.0,0,0,0.0,41.305556,27.608056,78.0
10,1000.0,0,0,0.0,41.129721999999994,26.48,8.0
11,1000.0,0,0,0.0,41.31,27.7875,103.0
12,1000.0,0,0,0.0,40.8873,26.908,202.0
13,1000.0,0,0,0.0,40.774871999999995,26.345046000000004,32.0
14,1000.0,0,0,0.0,41.3513,27.3108,44.0
15,1000.0,0,0,0.0,41.2726,26.7056,44.0
16,1000.0,0,0,0.0,40.95850000000001,27.496500000000005,4.0
17,1000.0,0,0,0.0,41.1798,27.816,142.0
18,1000.0,0,0,0.0,41.7382,27.2178,228.0
19,1000.0,0,0,0.0,41.6767,26.5508,48.0
20,1000.0,0,0,0.0,41.288187,27.994754000000004,162.0
21,1000.0,0,0,0.0,41.04362499999999,27.093532,73.0
22,1000.0,0,0,0.0,41.34999400000001,27.703401,99.0
23,1000.0,0,0,0.0,41.627037,27.511929,182.0
24,1000.0,0,0,0.0,41.63612,28.092597999999995,15.0
0,1000.0,1,0,0.0,41.198839873358324,27.473945990831442,67.0
2,1000.0,0,1,0.0,41.350833,27.35166700000001,43.0
0,1000.0,0,1,0.0,41.198839873358324,27.473945990831442,67.0
3,1000.0,0,1,0.0,41.634722,27.653889000000003,276.0
4,1000.0,0,1,0.0,41.4,27.966667,141.0
5,1000.0,0,1,0.0,40.863889,26.238889000000004,4.0
6,1000.0,0,1,0.0,41.497222,27.944444,189.0
7,1000.0,0,1,0.0,41.427778,27.1,48.0
8,1000.0,0,1,0.0,41.21,27.11805600000001,41.0
9,1000.0,0,1,0.0,41.305556,27.608056,78.0
10,1000.0,0,1,0.0,41.129721999999994,26.48,8.0
11,1000.0,0,1,0.0,41.31,27.7875,103.0
12,1000.0,0,1,0.0,40.8873,26.908,202.0
13,1000.0,0,1,0.0,40.774871999999995,26.345046000000004,32.0
14,1000.0,0,1,0.0,41.3513,27.3108,44.0
15,1000.0,0,1,0.0,41.2726,26.7056,44.0
16,1000.0,0,1,0.0,40.95850000000001,27.496500000000005,4.0
17,1000.0,0,1,0.0,41.1798,27.816,142.0
18,1000.0,0,1,0.0,41.7382,27.2178,228.0
19,1000.0,0,1,0.0,41.6767,26.5508,48.0
20,1000.0,0,1,0.0,41.288187,27.994754000000004,162.0
21,1000.0,0,1,0.0,41.04362499999999,27.093532,73.0
22,1000.0,0,1,0.0,41.34999400000001,27.703401,99.0
23,1000.0,0,1,0.0,41.627037,27.511929,182.0
24,1000.0,0,1,0.0,41.63612,28.092597999999995,15.0
0,1000.0,1,1,0.0,41.198839873358324,27.473945990831442,67.0
2,1500.0,0,0,0.0,41.350833,27.35166700000001,43.0
0,1500.0,0,0,0.0,41.19888102239216,27.475000541376854,67.0
3,1500.0,0,0,0.0,41.634722,27.653889000000003,276.0
4,1500.0,0,0,0.0,41.4,27.966667,141.0
5,1500.0,0,0,0.0,40.863889,26.238889000000004,4.0
6,1500.0,0,0,0.0,41.497222,27.944444,189.0
7,1500.0,0,0,0.0,41.427778,27.1,48.0
