gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,sensor_latitude,sensor_longitude,sensor_altitude
0,t1-2,500.0,0,0,0.001,41.26191666666666,27.548111111111112,83.0
1,t8-1,500.0,0,0,0.001,41.060138888888886,27.33877777777777,111.0
2,t3-1,500.0,0,0,0.001,41.34280555555556,27.456888888888887,57.0
3,cc2,500.0,0,0,0.001,41.293416666666666,27.944222222222223,154.0
4,cc8,500.0,0,0,0.001,41.171388888888885,27.79488888888889,120.0
5,t3-2,500.0,0,0,0.001,41.33572222222222,27.47411111111111,69.0
6,ec6,500.0,0,0,0.001,41.26419444444444,27.639055555555554,107.0
7,t4,500.0,0,0,0.001,41.357527777777776,27.387416666666667,41.0
8,t7-1,500.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
9,m9,500.0,0,0,0.001,41.34791666666667,27.28786111111112,45.0
10,ec4,500.0,0,0,0.001,41.24219444444444,27.684361111111112,91.0
11,cc1,500.0,0,0,0.001,41.27316666666667,27.96463888888889,142.0
12,cc3,500.0,0,0,0.001,41.23858333333333,27.869722222222222,130.0
13,cc7,500.0,0,0,0.001,41.18147222222222,27.813305555555555,136.0
14,ec2,500.0,0,0,0.001,41.13002777777778,27.772972222222226,95.0
15,t7-2,500.0,0,0,0.001,41.36988888888889,27.176,42.0
16,m16,500.0,0,0,0.001,41.246833333333335,26.6185,18.0
17,t13-1,500.0,0,0,0.001,41.785916666666665,27.129277777777776,244.0
18,t12-5,500.0,0,0,0.001,41.364694444444446,27.061805555555555,38.0
19,t1-1,500.0,0,0,0.001,41.27711111111111,27.582555555555555,101.0
20,m2,500.0,0,0,0.001,41.19519444444444,27.46575,70.0
21,m12,500.0,0,0,0.001,41.34236111111111,27.03888888888889,32.0
22,t6,500.0,0,0,0.001,41.34030555555556,27.26763888888889,44.0
23,t15,500.0,0,0,0.001,41.275194444444445,26.681833333333334,12.0
24,cc6,500.0,0,0,0.001,41.20744444444445,27.86411111111111,150.0
25,ec3,500.0,0,0,0.001,41.25669444444444,27.735666666666667,106.0
26,t9,500.0,0,0,0.001,41.36775,27.14011111111111,42.0
27,ec7,500.0,0,0,0.001,41.216750000000005,27.526333333333334,76.0
28,t2-2,500.0,0,0,0.001,41.29263888888889,27.503444444444444,55.0
29,m4,500.0,0,0,0.001,41.254444444444445,27.45308333333333,56.0
0,t1-2,500.0,0,1,0.001,41.26191666666666,27.548111111111112,83.0
1,t8-1,500.0,0,1,0.001,41.060138888888886,27.33877777777777,111.0
2,t3-1,500.0,0,1,0.001,41.34280555555556,27.456888888888887,57.0
3,cc2,500.0,0,1,0.001,41.293416666666666,27.944222222222223,154.0
