sensor_key,distance_threshold,outlier_threshold,remove_intersections,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J)
O,7500.0,0.0,0.0,86400.0,653.0,233.0,282.0,420.0,10591.6,4426.0,48098.0,11.275,18.15,45253.5,2673.0,3.52,138.64
P,7500.0,0.0,0.0,86400.0,648.0,567.0,574.0,81.0,20529.3,10772.0,48113.5,11.55,9.075,45261.2,2673.0,1.76,156.943
A,4000.0,3.0,0.0,86400.0,653.0,125.0,190.0,528.0,1463.51,2374.0,48087.2,11.55,9.075,45261.2,2673.0,1.76,130.674
B,4000.0,3.0,0.0,86400.0,651.0,175.0,234.0,476.0,2871.2,3324.0,48094.2,9.9,18.15,45256.2,2673.0,3.52,133.457
C,4000.0,3.0,0.0,86400.0,653.0,208.0,261.0,445.0,3523.02,3951.0,48081.8,33.2424,36.3,45190.8,2673.0,8.8,139.644
D,4000.0,3.0,0.0,86400.0,653.0,341.0,377.0,312.0,11218.6,6478.0,48085.0,32.0941,36.3,45193.1,2673.0,8.8,141.695
A,2500.0,3.0,0.0,86400.0,653.0,125.0,190.0,528.0,1463.51,2374.0,48087.2,11.55,9.075,45261.2,2673.0,1.76,130.674
B,2500.0,3.0,0.0,86400.0,651.0,175.0,234.0,476.0,2871.2,3324.0,48094.2,9.9,18.15,45256.2,2673.0,3.52,133.457
C,2500.0,3.0,0.0,86400.0,653.0,208.0,261.0,445.0,3523.02,3951.0,48081.8,33.2424,36.3,45190.8,2673.0,8.8,139.644
D,2500.0,3.0,0.0,86400.0,653.0,341.0,377.0,312.0,11218.6,6478.0,48085.0,32.0941,36.3,45193.1,2673.0,8.8,141.695
A,5000.0,0.0,0.0,86400.0,657.0,248.0,291.0,409.0,18009.6,4711.0,48086.8,31.1217,27.225,45203.3,2673.0,7.04,145.111
B,5000.0,0.0,0.0,86400.0,655.0,186.0,239.0,469.0,9615.76,3533.0,48098.2,9.9,18.15,45256.2,2673.0,3.52,137.41
C,5000.0,0.0,0.0,86400.0,653.0,206.0,259.0,447.0,4671.21,3913.0,48096.9,11.275,18.15,45253.5,2673.0,3.52,137.47
D,5000.0,0.0,0.0,86400.0,653.0,334.0,368.0,319.0,12493.8,6345.0,48091.7,33.1472,36.3,45191.0,2673.0,8.8,149.49
E,5000.0,0.0,0.0,86400.0,650.0,432.0,454.0,218.0,19625.7,8207.0,48106.7,14.025,18.15,45248.0,2673.0,3.52,150.081
F,5000.0,0.0,0.0,86400.0,650.0,261.0,306.0,389.0,15527.8,4958.0,48103.2,11.55,9.075,45261.2,2673.0,1.76,146.685
G,5000.0,0.0,0.0,86400.0,656.0,251.0,299.0,405.0,11770.9,4768.0,48083.3,32.7295,36.3,45191.8,2673.0,8.8,140.636
H,5000.0,0.0,0.0,86400.0,652.0,400.0,427.0,252.0,14993.5,7599.0,48091.9,32.3836,36.3,45192.5,2673.0,8.8,148.839
R,5000.0,0.0,0.0,86400.0,647.0,614.0,616.0,33.0,17214.2,11665.0,48092.4,35.6162,27.225,45194.3,2673.0,7.04,155.163
S,5000.0,0.0,0.0,86400.0,654.0,357.0,387.0,297.0,22736.2,6782.0,48102.4,11.55,9.075,45261.2,2673.0,1.76,145.818
K,5000.0,0.0,0.0,86400.0,656.0,507.0,521.0,149.0,29154.1,9632.0,48103.9,26.7089,36.3,45203.9,2673.0,8.8,155.167
L,5000.0,0.0,0.0,86400.0,649.0,612.0,614.0,37.0,21242.3,11627.0,48095.0,35.5138,27.225,45194.5,2673.0,7.04,157.734
M,5000.0,0.0,0.0,86400.0,659.0,319.0,354.0,340.0,25448.5,6060.0,48098.7,27.2963,27.225,45211.0,2673.0,7.04,153.166
N,5000.0,0.0,0.0,86400.0,652.0,418.0,440.0,234.0,22652.2,7941.0,48111.1,9.9,18.15,45256.2,2673.0,3.52,150.329
O,5000.0,0.0,0.0,86400.0,652.0,315.0,352.0,337.0,12596.6,5984.0,48112.3,11.275,18.15,45253.5,2673.0,3.52,152.93
P,5000.0,0.0,0.0,86400.0,646.0,564.0,571.0,82.0,12694.3,10715.0,48091.3,35.4282,27.225,45194.7,2673.0,7.04,153.911
A,9000.0,1.0,1.0,86400.0,655.0,167.0,222.0,488.0,11779.6,3172.0,48097.6,11.55,9.075,45261.2,2673.0,1.76,141.055
B,9000.0,1.0,1.0,86400.0,659.0,160.0,219.0,499.0,11363.3,3039.0,48093.5,15.2324,27.225,45235.1,2673.0,7.04,135.912
C,9000.0,1.0,1.0,86400.0,652.0,195.0,250.0,457.0,8369.94,3704.0,48098.3,11.275,18.15,45253.5,2673.0,3.52,138.861
D,9000.0,1.0,1.0,86400.0,650.0,173.0,231.0,477.0,4465.65,3286.0,48098.4,12.65,18.15,45250.7,2673.0,3.52,140.409
E,9000.0,1.0,1.0,86400.0,653.0,371.0,400.0,282.0,21079.9,7048.0,48107.8,14.025,18.15,45248.0,2673.0,3.52,151.118
F,9000.0,1.0,1.0,86400.0,655.0,249.0,294.0,406.0,16151.0,4730.0,48101.0,15.4,18.15,45245.2,2673.0,3.52,145.743
G,9000.0,1.0,1.0,86400.0,656.0,299.0,337.0,357.0,17359.7,5680.0,48087.5,32.1022,36.3,45193.1,2673.0,8.8,144.171
H,9000.0,1.0,1.0,86400.0,657.0,162.0,217.0,495.0,15666.2,3077.0,48093.2,18.15,18.15,45239.7,2673.0,3.52,140.652
S,9000.0,1.0,1.0,86400.0,651.0,207.0,258.0,444.0,8238.42,3932.0,48102.0,11.55,9.075,45261.2,2673.0,1.76,145.451
K,9000.0,1.0,1.0,86400.0,655.0,427.0,447.0,228.0,25287.2,8112.0,48107.7,17.1461,27.225,45231.3,2673.0,7.04,152.032
L,9000.0,1.0,1.0,86400.0,652.0,324.0,362.0,328.0,18637.8,6155.0,48108.8,11.275,18.15,45253.5,2673.0,3.52,149.41
A,4000.0,1.0,0.0,86400.0,647.0,273.0,318.0,374.0,2698.18,5186.0,48096.6,11.55,9.075,45261.2,2673.0,1.76,140.063
B,4000.0,1.0,0.0,86400.0,650.0,235.0,285.0,415.0,4437.69,4464.0,48097.9,9.9,18.15,45256.2,2673.0,3.52,137.175
C,4000.0,1.0,0.0,86400.0,651.0,277.0,321.0,374.0,4001.7,5262.0,48082.7,32.3285,36.3,45192.6,2673.0,8.8,139.594
D,4000.0,1.0,0.0,86400.0,651.0,375.0,406.0,276.0,11832.3,7124.0,48103.8,12.65,18.15,45250.7,2673.0,3.52,145.738
F,4000.0,1.0,0.0,86400.0,650.0,340.0,371.0,310.0,11186.8,6459.0,48081.0,35.4612,27.225,45194.6,2673.0,7.04,143.615
G,4000.0,1.0,0.0,86400.0,651.0,384.0,416.0,267.0,9480.16,7295.0,48090.0,32.3836,36.3,45192.5,2673.0,8.8,146.936
K,4000.0,1.0,0.0,86400.0,646.0,399.0,424.0,247.0,15013.7,7580.0,48101.3,11.55,9.075,45261.2,2673.0,1.76,144.813
L,4000.0,1.0,0.0,86400.0,654.0,479.0,495.0,175.0,26469.9,9100.0,48096.6,30.5154,36.3,45196.3,2673.0,8.8,151.702
M,4000.0,1.0,0.0,86400.0,651.0,452.0,469.0,199.0,20773.4,8587.0,48086.5,34.8508,27.225,45195.8,2673.0,7.04,148.585
N,4000.0,1.0,0.0,86400.0,650.0,436.0,460.0,214.0,14946.9,8283.0,48109.8,9.9,18.15,45256.2,2673.0,3.52,149.053
A,5500.0,1.0,0.0,86400.0,656.0,227.0,278.0,429.0,9592.72,4312.0,48081.8,35.2586,27.225,45195.0,2673.0,7.04,144.206
B,5500.0,1.0,0.0,86400.0,657.0,204.0,254.0,453.0,13352.5,3875.0,48086.6,32.2506,36.3,45192.8,2673.0,8.8,143.437
C,5500.0,1.0,0.0,86400.0,650.0,316.0,352.0,334.0,14928.5,6003.0,48108.5,11.275,18.15,45253.5,2673.0,3.52,149.138
D,5500.0,1.0,0.0,86400.0,647.0,288.0,328.0,359.0,9141.17,5471.0,48100.9,12.65,18.15,45250.7,2673.0,3.52,142.868
E,5500.0,1.0,0.0,86400.0,650.0,416.0,441.0,234.0,11438.8,7903.0,48094.4,26.675,27.225,45212.2,2673.0,7.04,148.232
F,5500.0,1.0,0.0,86400.0,649.0,322.0,355.0,327.0,13075.8,6117.0,48099.1,11.55,9.075,45261.2,2673.0,1.76,142.584
H,5500.0,1.0,0.0,86400.0,646.0,363.0,397.0,283.0,6223.65,6896.0,48107.8,9.9,18.15,45256.2,2673.0,3.52,146.987
S,5500.0,1.0,0.0,86400.0,654.0,385.0,411.0,269.0,20361.3,7314.0,48098.8,20.1321,18.15,45233.5,2673.0,5.28,148.664
K,5500.0,1.0,0.0,86400.0,651.0,450.0,474.0,201.0,12920.8,8549.0,48105.7,18.2317,27.225,45229.1,2673.0,7.04,151.162
M,5500.0,1.0,0.0,86400.0,656.0,277.0,319.0,379.0,15275.0,5262.0,48097.5,22.8086,18.15,45228.2,2673.0,5.28,150.063
N,5500.0,1.0,0.0,86400.0,653.0,451.0,467.0,202.0,32688.1,8568.0,48111.3,9.9,18.15,45256.2,2673.0,3.52,150.509
O,5500.0,1.0,0.0,86400.0,650.0,358.0,391.0,292.0,13967.2,6801.0,48107.3,11.275,18.15,45253.5,2673.0,3.52,147.933
A,5500.0,3.0,0.0,86400.0,652.0,149.0,210.0,503.0,4441.39,2830.0,48094.7,11.55,9.075,45261.2,2673.0,1.76,138.129
B,5500.0,3.0,0.0,86400.0,654.0,82.0,148.0,572.0,9744.64,1557.0,48091.8,9.9,18.15,45256.2,2673.0,3.52,131.041
C,5500.0,3.0,0.0,86400.0,657.0,116.0,182.0,541.0,3279.64,2203.0,48081.3,22.1878,27.225,45221.2,2673.0,7.04,130.715
D,5500.0,3.0,0.0,86400.0,657.0,307.0,346.0,350.0,18079.6,5832.0,48093.0,20.5789,27.225,45224.4,2673.0,7.04,140.731
E,5500.0,3.0,0.0,86400.0,655.0,370.0,400.0,285.0,25374.1,7029.0,48101.0,14.025,18.15,45248.0,2673.0,3.52,144.4
A,9500.0,2.0,1.0,86400.0,655.0,150.0,210.0,505.0,8586.62,2849.0,48095.5,11.55,9.075,45261.2,2673.0,1.76,138.956
B,9500.0,2.0,1.0,86400.0,656.0,119.0,183.0,537.0,3826.06,2260.0,48077.0,32.3545,36.3,45192.6,2673.0,8.8,133.919
C,9500.0,2.0,1.0,86400.0,657.0,148.0,208.0,509.0,7621.67,2811.0,48082.8,32.0898,36.3,45193.1,2673.0,8.8,139.46
D,9500.0,2.0,1.0,86400.0,658.0,175.0,231.0,483.0,11928.6,3324.0,48081.1,32.3613,36.3,45192.6,2673.0,8.8,138.088
E,9500.0,2.0,1.0,86400.0,657.0,414.0,436.0,243.0,28929.0,7865.0,48095.8,32.2179,36.3,45192.9,2673.0,8.8,152.644
F,9500.0,2.0,1.0,86400.0,659.0,160.0,215.0,499.0,13851.9,3039.0,48101.2,14.7279,27.225,45236.1,2673.0,7.04,143.13
G,9500.0,2.0,1.0,86400.0,653.0,314.0,352.0,339.0,15525.4,5965.0,48100.5,16.775,18.15,45242.5,2673.0,3.52,146.607
H,9500.0,2.0,1.0,86400.0,656.0,278.0,321.0,378.0,13783.3,5281.0,48099.9,19.6378,27.225,45226.3,2673.0,7.04,146.746
L,9500.0,2.0,1.0,86400.0,655.0,141.0,198.0,514.0,10417.1,2678.0,48100.4,11.55,9.075,45261.2,2673.0,1.76,143.863
M,9500.0,2.0,1.0,86400.0,657.0,378.0,405.0,279.0,24650.3,7181.0,48106.8,11.0,18.15,45251.8,2673.0,5.28,147.57
N,9500.0,2.0,1.0,86400.0,656.0,273.0,316.0,383.0,19483.3,5186.0,48102.3,11.275,18.15,45253.5,2673.0,3.52,142.859
O,9500.0,2.0,1.0,86400.0,649.0,371.0,401.0,278.0,19532.7,7048.0,48105.8,12.65,18.15,45250.7,2673.0,3.52,147.794
A,7500.0,0.0,1.0,86400.0,652.0,249.0,295.0,403.0,10117.1,4730.0,48100.9,11.55,9.075,45261.2,2673.0,1.76,144.405
B,7500.0,0.0,1.0,86400.0,653.0,341.0,376.0,312.0,13001.8,6478.0,48086.0,32.4586,36.3,45192.4,2673.0,8.8,143.092
C,7500.0,0.0,1.0,86400.0,651.0,318.0,358.0,333.0,5051.66,6041.0,48084.6,32.592,36.3,45192.1,2673.0,8.8,141.776
D,7500.0,0.0,1.0,86400.0,650.0,375.0,408.0,275.0,6074.4,7124.0,48090.1,30.4404,36.3,45196.4,2673.0,8.8,145.189
R,7500.0,0.0,1.0,86400.0,648.0,577.0,582.0,71.0,17655.4,10962.0,48099.5,26.2576,27.225,45213.0,2673.0,7.04,152.928
S,7500.0,0.0,1.0,86400.0,656.0,289.0,330.0,367.0,17001.7,5490.0,48108.4,11.55,9.075,45261.2,2673.0,1.76,151.829
K,7500.0,0.0,1.0,86400.0,656.0,534.0,544.0,122.0,30464.5,10145.0,48103.2,27.162,36.3,45203.0,2673.0,8.8,154.922
L,7500.0,0.0,1.0,86400.0,656.0,482.0,498.0,174.0,27259.5,9157.0,48103.9,26.8118,36.3,45203.7,2673.0,8.8,155.302
M,7500.0,0.0,1.0,86400.0,656.0,351.0,384.0,305.0,21376.3,6668.0,48105.1,11.55,9.075,45261.2,2673.0,1.76,148.558
N,7500.0,0.0,1.0,86400.0,656.0,296.0,338.0,360.0,14615.5,5623.0,48095.7,24.4065,36.3,45208.5,2673.0,8.8,144.672
O,7500.0,0.0,1.0,86400.0,652.0,382.0,412.0,270.0,13262.4,7257.0,48093.5,28.1358,36.3,45201.0,2673.0,8.8,146.275
P,7500.0,0.0,1.0,86400.0,647.0,593.0,598.0,54.0,14571.0,11266.0,48101.3,26.4141,27.225,45212.7,2673.0,7.04,154.86
A,4000.0,1.0,1.0,86400.0,647.0,273.0,318.0,374.0,2698.18,5186.0,48096.6,11.55,9.075,45261.2,2673.0,1.76,140.063
B,4000.0,1.0,1.0,86400.0,650.0,235.0,285.0,415.0,4437.69,4464.0,48097.9,9.9,18.15,45256.2,2673.0,3.52,137.175
C,4000.0,1.0,1.0,86400.0,651.0,277.0,321.0,374.0,4001.7,5262.0,48082.7,32.3285,36.3,45192.6,2673.0,8.8,139.594
D,4000.0,1.0,1.0,86400.0,651.0,375.0,406.0,276.0,11832.3,7124.0,48103.8,12.65,18.15,45250.7,2673.0,3.52,145.738
F,4000.0,1.0,1.0,86400.0,650.0,340.0,371.0,310.0,11186.8,6459.0,48081.0,35.4612,27.225,45194.6,2673.0,7.04,143.615
G,4000.0,1.0,1.0,86400.0,651.0,384.0,416.0,267.0,9480.16,7295.0,48090.0,32.3836,36.3,45192.5,2673.0,8.8,146.936
K,4000.0,1.0,1.0,86400.0,646.0,399.0,424.0,247.0,15013.7,7580.0,48101.3,11.55,9.075,45261.2,2673.0,1.76,144.813
L,4000.0,1.0,1.0,86400.0,654.0,479.0,495.0,175.0,26469.9,9100.0,48096.6,30.5154,36.3,45196.3,2673.0,8.8,151.702
M,4000.0,1.0,1.0,86400.0,651.0,452.0,469.0,199.0,20773.4,8587.0,48086.5,34.8508,27.225,45195.8,2673.0,7.04,148.585
N,4000.0,1.0,1.0,86400.0,650.0,436.0,460.0,214.0,14946.9,8283.0,48109.8,9.9,18.15,45256.2,2673.0,3.52,149.053
A,8500.0,3.0,1.0,86400.0,659.0,64.0,130.0,595.0,11010.8,1215.0,48076.7,26.3542,27.225,45212.8,2673.0,7.04,130.228
B,8500.0,3.0,1.0,86400.0,653.0,95.0,164.0,558.0,4785.66,1804.0,48091.0,9.9,18.15,45256.2,2673.0,3.52,130.249
C,8500.0,3.0,1.0,86400.0,653.0,46.0,114.0,607.0,10388.0,873.0,48093.9,11.275,18.15,45253.5,2673.0,3.52,134.539
D,8500.0,3.0,1.0,86400.0,657.0,131.0,192.0,526.0,11395.4,2488.0,48095.4,12.65,18.15,45250.7,2673.0,3.52,137.371
E,8500.0,3.0,1.0,86400.0,657.0,448.0,467.0,209.0,29323.6,8511.0,48096.8,24.3331,27.225,45216.9,2673.0,7.04,148.343
F,8500.0,3.0,1.0,86400.0,654.0,216.0,262.0,438.0,20163.7,4103.0,48093.3,15.4,18.15,45245.2,2673.0,3.52,137.987
G,8500.0,3.0,1.0,86400.0,653.0,310.0,347.0,343.0,22431.6,5889.0,48098.1,16.775,18.15,45242.5,2673.0,3.52,144.193
A,3500.0,0.0,1.0,86400.0,655.0,280.0,324.0,375.0,11531.5,5319.0,48081.6,35.6516,27.225,45194.2,2673.0,7.04,144.445
B,3500.0,0.0,1.0,86400.0,652.0,271.0,315.0,381.0,6513.16,5148.0,48087.7,32.3713,36.3,45192.6,2673.0,8.8,144.646
C,3500.0,0.0,1.0,86400.0,650.0,334.0,370.0,316.0,9868.15,6345.0,48102.7,11.275,18.15,45253.5,2673.0,3.52,143.337
D,3500.0,0.0,1.0,86400.0,650.0,431.0,455.0,219.0,16876.0,8188.0,48110.0,12.65,18.15,45250.7,2673.0,3.52,151.937
E,3500.0,0.0,1.0,86400.0,644.0,639.0,639.0,5.0,11827.5,12140.0,48092.8,35.4597,27.225,45194.6,2673.0,7.04,155.395
G,3500.0,0.0,1.0,86400.0,655.0,604.0,607.0,51.0,32947.3,11475.0,48107.3,23.7456,27.225,45218.1,2673.0,7.04,158.198
H,3500.0,0.0,1.0,86400.0,642.0,638.0,638.0,4.0,7951.15,12121.0,48093.1,35.491,27.225,45194.6,2673.0,7.04,155.817
R,3500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
S,3500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1969.63,12140.0,48100.9,35.538,27.225,45194.5,2673.0,7.04,163.61
K,3500.0,0.0,1.0,86400.0,654.0,568.0,574.0,86.0,30691.3,10791.0,48093.2,33.5719,27.225,45198.4,2673.0,7.04,153.927
L,3500.0,0.0,1.0,86400.0,652.0,422.0,448.0,230.0,14759.5,8017.0,48093.2,31.9924,36.3,45193.3,2673.0,8.8,149.823
M,3500.0,0.0,1.0,86400.0,658.0,601.0,603.0,57.0,40502.1,11418.0,48103.5,26.5108,27.225,45212.5,2673.0,7.04,157.19
O,3500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1849.64,12140.0,48094.2,35.538,27.225,45194.5,2673.0,7.04,156.946
P,3500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
A,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
E,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
F,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
G,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
H,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
R,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
S,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
K,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
L,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
M,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
N,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
O,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
P,500.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
A,3500.0,2.0,0.0,86400.0,653.0,125.0,190.0,528.0,1463.51,2374.0,48087.2,11.55,9.075,45261.2,2673.0,1.76,130.674
B,3500.0,2.0,0.0,86400.0,651.0,175.0,234.0,476.0,2871.2,3324.0,48094.2,9.9,18.15,45256.2,2673.0,3.52,133.457
C,3500.0,2.0,0.0,86400.0,653.0,208.0,261.0,445.0,3523.02,3951.0,48081.8,33.2424,36.3,45190.8,2673.0,8.8,139.644
