sensor_key,distance_threshold,outlier_threshold,remove_intersections,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J)
D,3500.0,2.0,0.0,86400.0,653.0,341.0,377.0,312.0,11218.6,6478.0,48085.0,32.0941,36.3,45193.1,2673.0,8.8,141.695
A,7000.0,2.0,0.0,86400.0,654.0,158.0,215.0,496.0,7232.98,3001.0,48100.3,11.55,9.075,45261.2,2673.0,1.76,143.763
B,7000.0,2.0,0.0,86400.0,653.0,116.0,180.0,537.0,6385.21,2203.0,48099.6,9.9,18.15,45256.2,2673.0,3.52,138.828
C,7000.0,2.0,0.0,86400.0,658.0,198.0,250.0,460.0,17034.1,3761.0,48097.3,11.275,18.15,45253.5,2673.0,3.52,137.88
D,7000.0,2.0,0.0,86400.0,656.0,233.0,281.0,423.0,12351.5,4426.0,48081.9,32.2502,36.3,45192.8,2673.0,8.8,138.775
E,7000.0,2.0,0.0,86400.0,648.0,346.0,379.0,302.0,16842.1,6573.0,48100.7,14.025,18.15,45248.0,2673.0,3.52,144.053
G,7000.0,2.0,0.0,86400.0,657.0,207.0,260.0,450.0,9439.23,3932.0,48091.4,16.5,18.15,45240.8,2673.0,5.28,137.692
M,7000.0,2.0,0.0,86400.0,650.0,301.0,341.0,349.0,14339.5,5718.0,48099.0,11.55,9.075,45261.2,2673.0,1.76,142.429
N,7000.0,2.0,0.0,86400.0,655.0,503.0,517.0,152.0,26542.3,9556.0,48117.4,8.378,27.225,45248.8,2673.0,7.04,152.937
O,7000.0,2.0,0.0,86400.0,654.0,305.0,345.0,349.0,13731.6,5794.0,48105.9,11.275,18.15,45253.5,2673.0,3.52,146.491
A,6000.0,1.0,1.0,86400.0,654.0,240.0,288.0,414.0,11614.3,4559.0,48098.2,11.55,9.075,45261.2,2673.0,1.76,141.642
B,6000.0,1.0,1.0,86400.0,655.0,274.0,315.0,381.0,17322.6,5205.0,48102.6,9.9,18.15,45256.2,2673.0,3.52,141.879
C,6000.0,1.0,1.0,86400.0,653.0,328.0,362.0,325.0,17235.8,6231.0,48104.8,11.275,18.15,45253.5,2673.0,3.52,145.447
D,6000.0,1.0,1.0,86400.0,647.0,307.0,347.0,340.0,4947.67,5832.0,48103.6,12.65,18.15,45250.7,2673.0,3.52,145.612
E,6000.0,1.0,1.0,86400.0,652.0,383.0,411.0,269.0,14646.0,7276.0,48097.3,32.3543,36.3,45192.6,2673.0,8.8,154.228
F,6000.0,1.0,1.0,86400.0,651.0,374.0,402.0,277.0,14162.4,7105.0,48085.0,35.6395,27.225,45194.3,2673.0,7.04,147.803
H,6000.0,1.0,1.0,86400.0,650.0,403.0,430.0,247.0,11109.6,7656.0,48090.2,32.3562,36.3,45192.6,2673.0,8.8,147.18
S,6000.0,1.0,1.0,86400.0,653.0,362.0,389.0,291.0,19957.6,6877.0,48084.6,35.5737,27.225,45194.4,2673.0,7.04,147.383
K,6000.0,1.0,1.0,86400.0,653.0,373.0,407.0,280.0,12943.6,7086.0,48092.9,32.3549,36.3,45192.6,2673.0,8.8,149.859
M,6000.0,1.0,1.0,86400.0,657.0,232.0,276.0,425.0,17438.8,4407.0,48081.8,35.2185,27.225,45195.1,2673.0,7.04,144.24
N,6000.0,1.0,1.0,86400.0,656.0,361.0,390.0,295.0,21554.0,6858.0,48104.4,22.2218,27.225,45221.1,2673.0,7.04,153.838
O,6000.0,1.0,1.0,86400.0,655.0,273.0,316.0,382.0,12065.0,5186.0,48085.3,32.3534,36.3,45192.6,2673.0,8.8,142.294
A,3500.0,3.0,0.0,86400.0,653.0,125.0,190.0,528.0,1463.51,2374.0,48087.2,11.55,9.075,45261.2,2673.0,1.76,130.674
B,3500.0,3.0,0.0,86400.0,651.0,175.0,234.0,476.0,2871.2,3324.0,48094.2,9.9,18.15,45256.2,2673.0,3.52,133.457
C,3500.0,3.0,0.0,86400.0,653.0,208.0,261.0,445.0,3523.02,3951.0,48081.8,33.2424,36.3,45190.8,2673.0,8.8,139.644
D,3500.0,3.0,0.0,86400.0,653.0,341.0,377.0,312.0,11218.6,6478.0,48085.0,32.0941,36.3,45193.1,2673.0,8.8,141.695
A,2000.0,2.0,0.0,86400.0,653.0,125.0,190.0,528.0,1463.51,2374.0,48087.2,11.55,9.075,45261.2,2673.0,1.76,130.674
B,2000.0,2.0,0.0,86400.0,651.0,175.0,234.0,476.0,2871.2,3324.0,48094.2,9.9,18.15,45256.2,2673.0,3.52,133.457
C,2000.0,2.0,0.0,86400.0,653.0,208.0,261.0,445.0,3523.02,3951.0,48081.8,33.2424,36.3,45190.8,2673.0,8.8,139.644
D,2000.0,2.0,0.0,86400.0,653.0,341.0,377.0,312.0,11218.6,6478.0,48085.0,32.0941,36.3,45193.1,2673.0,8.8,141.695
A,8000.0,0.0,0.0,86400.0,659.0,154.0,213.0,505.0,12929.1,2925.0,48100.5,11.55,9.075,45261.2,2673.0,1.76,143.962
B,8000.0,0.0,0.0,86400.0,659.0,368.0,400.0,291.0,25499.5,6991.0,48105.3,20.6402,36.3,45216.0,2673.0,8.8,150.555
C,8000.0,0.0,0.0,86400.0,656.0,227.0,274.0,429.0,13106.9,4312.0,48091.8,25.699,36.3,45205.9,2673.0,8.8,142.057
D,8000.0,0.0,0.0,86400.0,654.0,217.0,267.0,437.0,10079.8,4122.0,48101.0,12.65,18.15,45250.7,2673.0,3.52,142.936
E,8000.0,0.0,0.0,86400.0,654.0,494.0,507.0,160.0,25603.7,9385.0,48113.2,13.5575,27.225,45238.4,2673.0,7.04,153.912
F,8000.0,0.0,0.0,86400.0,659.0,310.0,350.0,349.0,20426.3,5889.0,48107.5,22.4926,27.225,45220.6,2673.0,7.04,157.215
G,8000.0,0.0,0.0,86400.0,657.0,346.0,378.0,311.0,23172.5,6573.0,48107.3,22.1359,36.3,45213.0,2673.0,8.8,154.033
H,8000.0,0.0,0.0,86400.0,655.0,451.0,471.0,204.0,23135.8,8568.0,48091.4,35.1448,27.225,45195.3,2673.0,7.04,153.707
R,8000.0,0.0,0.0,86400.0,650.0,575.0,581.0,75.0,19945.0,10924.0,48111.5,19.85,36.3,45217.6,2673.0,8.8,155.905
S,8000.0,0.0,0.0,86400.0,657.0,283.0,325.0,374.0,17925.1,5376.0,48111.4,11.55,9.075,45261.2,2673.0,1.76,154.822
K,8000.0,0.0,0.0,86400.0,657.0,484.0,499.0,173.0,31368.5,9195.0,48098.2,32.5794,36.3,45192.1,2673.0,8.8,155.41
L,8000.0,0.0,0.0,86400.0,651.0,460.0,482.0,191.0,13942.1,8739.0,48097.4,32.437,36.3,45192.4,2673.0,8.8,154.418
M,8000.0,0.0,0.0,86400.0,657.0,469.0,485.0,188.0,31888.2,8910.0,48100.5,25.1132,27.225,45215.3,2673.0,7.04,152.823
N,8000.0,0.0,0.0,86400.0,655.0,389.0,417.0,266.0,19149.6,7390.0,48116.9,11.722,18.15,45250.4,2673.0,5.28,158.353
O,8000.0,0.0,0.0,86400.0,652.0,513.0,527.0,139.0,20539.4,9746.0,48106.2,21.9628,27.225,45221.6,2673.0,7.04,155.316
P,8000.0,0.0,0.0,86400.0,646.0,601.0,604.0,45.0,13639.8,11418.0,48109.9,15.1226,18.15,45243.6,2673.0,5.28,154.826
A,8500.0,2.0,0.0,86400.0,651.0,143.0,197.0,508.0,12452.3,2716.0,48099.2,11.55,9.075,45261.2,2673.0,1.76,142.657
B,8500.0,2.0,0.0,86400.0,656.0,175.0,231.0,481.0,8684.5,3324.0,48078.8,32.2379,36.3,45192.8,2673.0,8.8,135.669
C,8500.0,2.0,0.0,86400.0,652.0,155.0,215.0,497.0,5022.52,2944.0,48094.3,11.275,18.15,45253.5,2673.0,3.52,134.918
D,8500.0,2.0,0.0,86400.0,657.0,158.0,216.0,499.0,8723.0,3001.0,48078.3,32.0921,36.3,45193.1,2673.0,8.8,134.964
E,8500.0,2.0,0.0,86400.0,653.0,449.0,468.0,204.0,22281.4,8530.0,48094.4,32.3597,36.3,45192.6,2673.0,8.8,151.336
F,8500.0,2.0,0.0,86400.0,657.0,231.0,277.0,426.0,15274.5,4388.0,48098.4,15.9056,27.225,45233.7,2673.0,7.04,141.495
G,8500.0,2.0,0.0,86400.0,651.0,317.0,353.0,334.0,16766.3,6022.0,48099.6,16.775,18.15,45242.5,2673.0,3.52,145.662
S,8500.0,2.0,0.0,86400.0,652.0,257.0,299.0,395.0,16261.2,4882.0,48100.8,11.55,9.075,45261.2,2673.0,1.76,144.277
K,8500.0,2.0,0.0,86400.0,654.0,425.0,449.0,229.0,18463.5,8074.0,48112.7,11.0,18.15,45251.8,2673.0,5.28,153.441
L,8500.0,2.0,0.0,86400.0,658.0,349.0,381.0,309.0,24394.2,6630.0,48106.5,9.91103,27.225,45245.7,2673.0,7.04,143.63
A,4000.0,2.0,1.0,86400.0,653.0,125.0,190.0,528.0,1463.51,2374.0,48087.2,11.55,9.075,45261.2,2673.0,1.76,130.674
B,4000.0,2.0,1.0,86400.0,651.0,175.0,234.0,476.0,2871.2,3324.0,48094.2,9.9,18.15,45256.2,2673.0,3.52,133.457
C,4000.0,2.0,1.0,86400.0,653.0,208.0,261.0,445.0,3523.02,3951.0,48081.8,33.2424,36.3,45190.8,2673.0,8.8,139.644
D,4000.0,2.0,1.0,86400.0,653.0,341.0,377.0,312.0,11218.6,6478.0,48085.0,32.0941,36.3,45193.1,2673.0,8.8,141.695
A,3500.0,1.0,0.0,86400.0,647.0,273.0,318.0,374.0,2698.18,5186.0,48096.6,11.55,9.075,45261.2,2673.0,1.76,140.063
B,3500.0,1.0,0.0,86400.0,650.0,235.0,285.0,415.0,4437.69,4464.0,48097.9,9.9,18.15,45256.2,2673.0,3.52,137.175
C,3500.0,1.0,0.0,86400.0,651.0,277.0,321.0,374.0,4001.7,5262.0,48082.7,32.3285,36.3,45192.6,2673.0,8.8,139.594
D,3500.0,1.0,0.0,86400.0,651.0,375.0,406.0,276.0,11832.3,7124.0,48103.8,12.65,18.15,45250.7,2673.0,3.52,145.738
F,3500.0,1.0,0.0,86400.0,650.0,340.0,371.0,310.0,11186.8,6459.0,48081.0,35.4612,27.225,45194.6,2673.0,7.04,143.615
G,3500.0,1.0,0.0,86400.0,651.0,384.0,416.0,267.0,9480.16,7295.0,48090.0,32.3836,36.3,45192.5,2673.0,8.8,146.936
K,3500.0,1.0,0.0,86400.0,646.0,399.0,424.0,247.0,15013.7,7580.0,48101.3,11.55,9.075,45261.2,2673.0,1.76,144.813
L,3500.0,1.0,0.0,86400.0,654.0,479.0,495.0,175.0,26469.9,9100.0,48096.6,30.5154,36.3,45196.3,2673.0,8.8,151.702
M,3500.0,1.0,0.0,86400.0,651.0,452.0,469.0,199.0,20773.4,8587.0,48086.5,34.8508,27.225,45195.8,2673.0,7.04,148.585
N,3500.0,1.0,0.0,86400.0,650.0,436.0,460.0,214.0,14946.9,8283.0,48109.8,9.9,18.15,45256.2,2673.0,3.52,149.053
A,1500.0,2.0,1.0,86400.0,653.0,125.0,190.0,528.0,1463.51,2374.0,48087.2,11.55,9.075,45261.2,2673.0,1.76,130.674
B,1500.0,2.0,1.0,86400.0,651.0,175.0,234.0,476.0,2871.2,3324.0,48094.2,9.9,18.15,45256.2,2673.0,3.52,133.457
C,1500.0,2.0,1.0,86400.0,653.0,208.0,261.0,445.0,3523.02,3951.0,48081.8,33.2424,36.3,45190.8,2673.0,8.8,139.644
D,1500.0,2.0,1.0,86400.0,653.0,341.0,377.0,312.0,11218.6,6478.0,48085.0,32.0941,36.3,45193.1,2673.0,8.8,141.695
A,6000.0,3.0,0.0,86400.0,652.0,149.0,210.0,503.0,4441.39,2830.0,48094.7,11.55,9.075,45261.2,2673.0,1.76,138.129
B,6000.0,3.0,0.0,86400.0,654.0,82.0,148.0,572.0,9744.64,1557.0,48091.8,9.9,18.15,45256.2,2673.0,3.52,131.041
C,6000.0,3.0,0.0,86400.0,657.0,116.0,182.0,541.0,3279.64,2203.0,48081.3,22.1878,27.225,45221.2,2673.0,7.04,130.715
D,6000.0,3.0,0.0,86400.0,657.0,307.0,346.0,350.0,18079.6,5832.0,48093.0,20.5789,27.225,45224.4,2673.0,7.04,140.731
E,6000.0,3.0,0.0,86400.0,655.0,370.0,400.0,285.0,25374.1,7029.0,48101.0,14.025,18.15,45248.0,2673.0,3.52,144.4
A,2000.0,1.0,1.0,86400.0,651.0,298.0,340.0,353.0,3847.37,5661.0,48080.8,35.5461,27.225,45194.5,2673.0,7.04,143.498
B,2000.0,1.0,1.0,86400.0,651.0,355.0,390.0,296.0,8488.45,6744.0,48086.3,32.3726,36.3,45192.6,2673.0,8.8,143.314
C,2000.0,1.0,1.0,86400.0,650.0,369.0,399.0,281.0,10204.3,7010.0,48088.3,32.1932,36.3,45192.9,2673.0,8.8,145.139
D,2000.0,1.0,1.0,86400.0,649.0,443.0,467.0,206.0,9697.56,8416.0,48089.6,32.313,36.3,45192.7,2673.0,8.8,146.546
E,2000.0,1.0,1.0,86400.0,646.0,513.0,525.0,133.0,13809.0,9746.0,48108.9,11.55,9.075,45261.2,2673.0,1.76,152.412
G,2000.0,1.0,1.0,86400.0,647.0,485.0,503.0,162.0,9121.3,9214.0,48093.5,30.503,36.3,45196.3,2673.0,8.8,148.618
N,2000.0,1.0,1.0,86400.0,648.0,396.0,420.0,252.0,9281.4,7523.0,48101.2,12.8084,18.15,45248.2,2673.0,5.28,143.748
O,2000.0,1.0,1.0,86400.0,646.0,414.0,443.0,232.0,1562.84,7865.0,48110.0,9.9,18.15,45256.2,2673.0,3.52,149.252
A,6000.0,2.0,1.0,86400.0,651.0,186.0,239.0,465.0,10157.2,3533.0,48098.2,11.55,9.075,45261.2,2673.0,1.76,141.677
B,6000.0,2.0,1.0,86400.0,650.0,270.0,313.0,380.0,14894.5,5129.0,48103.3,9.9,18.15,45256.2,2673.0,3.52,142.554
C,6000.0,2.0,1.0,86400.0,652.0,267.0,309.0,385.0,13317.7,5072.0,48104.9,11.275,18.15,45253.5,2673.0,3.52,145.496
D,6000.0,2.0,1.0,86400.0,655.0,209.0,263.0,446.0,5766.01,3970.0,48082.3,32.105,36.3,45193.1,2673.0,8.8,139.007
E,6000.0,2.0,1.0,86400.0,656.0,279.0,322.0,377.0,13157.8,5300.0,48097.3,15.125,18.15,45243.6,2673.0,5.28,142.206
M,6000.0,2.0,1.0,86400.0,649.0,212.0,261.0,437.0,8402.59,4027.0,48093.7,11.55,9.075,45261.2,2673.0,1.76,137.188
N,6000.0,2.0,1.0,86400.0,652.0,475.0,491.0,177.0,30287.0,9024.0,48113.3,9.9,18.15,45256.2,2673.0,3.52,152.561
O,6000.0,2.0,1.0,86400.0,655.0,394.0,422.0,261.0,18518.2,7485.0,48105.3,12.375,18.15,45249.1,2673.0,5.28,147.446
A,7500.0,1.0,1.0,86400.0,656.0,210.0,262.0,446.0,14527.9,3989.0,48095.6,11.55,9.075,45261.2,2673.0,1.76,139.018
B,7500.0,1.0,1.0,86400.0,653.0,284.0,325.0,369.0,17526.4,5395.0,48103.5,9.9,18.15,45256.2,2673.0,3.52,142.746
C,7500.0,1.0,1.0,86400.0,650.0,267.0,313.0,383.0,8731.92,5072.0,48104.6,11.275,18.15,45253.5,2673.0,3.52,145.178
D,7500.0,1.0,1.0,86400.0,652.0,306.0,345.0,346.0,11329.3,5813.0,48103.3,12.65,18.15,45250.7,2673.0,3.52,145.329
E,7500.0,1.0,1.0,86400.0,651.0,413.0,438.0,238.0,19388.1,7846.0,48112.3,14.025,18.15,45248.0,2673.0,3.52,155.638
H,7500.0,1.0,1.0,86400.0,648.0,355.0,386.0,293.0,17301.9,6744.0,48104.5,11.55,9.075,45261.2,2673.0,1.76,147.959
R,7500.0,1.0,1.0,86400.0,651.0,421.0,447.0,230.0,13537.5,7998.0,48090.8,32.4789,36.3,45192.3,2673.0,8.8,147.911
S,7500.0,1.0,1.0,86400.0,655.0,322.0,358.0,333.0,18813.8,6117.0,48111.0,11.55,9.075,45261.2,2673.0,1.76,154.485
K,7500.0,1.0,1.0,86400.0,656.0,473.0,488.0,183.0,30052.1,8986.0,48103.1,26.6971,36.3,45203.9,2673.0,8.8,154.422
L,7500.0,1.0,1.0,86400.0,655.0,451.0,469.0,204.0,24744.1,8568.0,48114.0,10.8398,27.225,45243.9,2673.0,7.04,152.002
M,7500.0,1.0,1.0,86400.0,656.0,226.0,272.0,430.0,15075.7,4293.0,48097.1,11.55,9.075,45261.2,2673.0,1.76,140.572
N,7500.0,1.0,1.0,86400.0,657.0,258.0,305.0,399.0,12966.3,4901.0,48095.9,22.112,27.225,45221.3,2673.0,7.04,145.182
O,7500.0,1.0,1.0,86400.0,654.0,414.0,439.0,240.0,19465.7,7865.0,48093.1,32.3216,36.3,45192.7,2673.0,8.8,150.0
A,9500.0,3.0,1.0,86400.0,655.0,150.0,210.0,505.0,8586.62,2849.0,48095.5,11.55,9.075,45261.2,2673.0,1.76,138.956
B,9500.0,3.0,1.0,86400.0,656.0,119.0,183.0,537.0,3826.06,2260.0,48077.0,32.3545,36.3,45192.6,2673.0,8.8,133.919
C,9500.0,3.0,1.0,86400.0,657.0,148.0,208.0,509.0,7621.67,2811.0,48082.8,32.0898,36.3,45193.1,2673.0,8.8,139.46
D,9500.0,3.0,1.0,86400.0,658.0,175.0,231.0,483.0,11928.6,3324.0,48081.1,32.3613,36.3,45192.6,2673.0,8.8,138.088
E,9500.0,3.0,1.0,86400.0,657.0,414.0,436.0,243.0,28929.0,7865.0,48095.8,32.2179,36.3,45192.9,2673.0,8.8,152.644
F,9500.0,3.0,1.0,86400.0,659.0,160.0,215.0,499.0,13851.9,3039.0,48101.2,14.7279,27.225,45236.1,2673.0,7.04,143.13
G,9500.0,3.0,1.0,86400.0,653.0,314.0,352.0,339.0,15525.4,5965.0,48100.5,16.775,18.15,45242.5,2673.0,3.52,146.607
H,9500.0,3.0,1.0,86400.0,656.0,278.0,321.0,378.0,13783.3,5281.0,48099.9,19.6378,27.225,45226.3,2673.0,7.04,146.746
L,9500.0,3.0,1.0,86400.0,655.0,141.0,198.0,514.0,10417.1,2678.0,48100.4,11.55,9.075,45261.2,2673.0,1.76,143.863
M,9500.0,3.0,1.0,86400.0,657.0,378.0,405.0,279.0,24650.3,7181.0,48106.8,11.0,18.15,45251.8,2673.0,5.28,147.57
N,9500.0,3.0,1.0,86400.0,656.0,273.0,316.0,383.0,19483.3,5186.0,48102.3,11.275,18.15,45253.5,2673.0,3.52,142.859
O,9500.0,3.0,1.0,86400.0,649.0,371.0,401.0,278.0,19532.7,7048.0,48105.8,12.65,18.15,45250.7,2673.0,3.52,147.794
A,8500.0,0.0,0.0,86400.0,656.0,238.0,286.0,418.0,16526.8,4521.0,48102.0,11.55,9.075,45261.2,2673.0,1.76,145.452
B,8500.0,0.0,0.0,86400.0,651.0,352.0,383.0,299.0,24617.6,6687.0,48109.2,9.9,18.15,45256.2,2673.0,3.52,148.386
C,8500.0,0.0,0.0,86400.0,657.0,303.0,342.0,354.0,17809.4,5756.0,48091.7,32.1889,36.3,45192.9,2673.0,8.8,148.525
D,8500.0,0.0,0.0,86400.0,655.0,357.0,390.0,298.0,16584.2,6782.0,48100.6,19.7467,27.225,45226.1,2673.0,7.04,147.552
E,8500.0,0.0,0.0,86400.0,656.0,531.0,540.0,125.0,31946.5,10088.0,48111.5,15.8522,18.15,45242.1,2673.0,5.28,157.148
F,8500.0,0.0,0.0,86400.0,657.0,389.0,417.0,268.0,23691.7,7390.0,48110.1,13.7099,27.225,45238.1,2673.0,7.04,151.013
G,8500.0,0.0,0.0,86400.0,652.0,413.0,438.0,239.0,17476.0,7846.0,48112.5,11.275,18.15,45253.5,2673.0,3.52,153.12
H,8500.0,0.0,0.0,86400.0,654.0,453.0,469.0,201.0,25311.1,8606.0,48090.2,35.294,27.225,45195.0,2673.0,7.04,152.652
R,8500.0,0.0,0.0,86400.0,652.0,574.0,579.0,78.0,26644.0,10905.0,48099.4,32.096,36.3,45193.1,2673.0,8.8,156.07
S,8500.0,0.0,0.0,86400.0,655.0,332.0,367.0,323.0,23037.3,6307.0,48111.0,11.55,9.075,45261.2,2673.0,1.76,154.438
K,8500.0,0.0,0.0,86400.0,651.0,472.0,485.0,179.0,31544.2,8967.0,48115.4,9.9,18.15,45256.2,2673.0,3.52,154.585
L,8500.0,0.0,0.0,86400.0,650.0,473.0,490.0,177.0,25989.9,8986.0,48118.6,11.275,18.15,45253.5,2673.0,3.52,159.238
M,8500.0,0.0,0.0,86400.0,657.0,474.0,491.0,183.0,30840.6,9005.0,48103.7,21.4998,27.225,45222.6,2673.0,7.04,152.409
N,8500.0,0.0,0.0,86400.0,653.0,387.0,416.0,266.0,15430.4,7352.0,48108.8,17.9246,18.15,45238.0,2673.0,5.28,156.482
O,8500.0,0.0,0.0,86400.0,653.0,515.0,530.0,138.0,22295.2,9784.0,48096.7,32.1965,36.3,45192.9,2673.0,8.8,153.464
P,8500.0,0.0,0.0,86400.0,645.0,620.0,620.0,25.0,15121.6,11779.0,48092.4,35.4435,27.225,45194.7,2673.0,7.04,155.053
A,8500.0,3.0,0.0,86400.0,659.0,64.0,130.0,595.0,11010.8,1215.0,48076.7,26.3542,27.225,45212.8,2673.0,7.04,130.228
B,8500.0,3.0,0.0,86400.0,653.0,95.0,164.0,558.0,4785.66,1804.0,48091.0,9.9,18.15,45256.2,2673.0,3.52,130.249
C,8500.0,3.0,0.0,86400.0,653.0,46.0,114.0,607.0,10388.0,873.0,48093.9,11.275,18.15,45253.5,2673.0,3.52,134.539
D,8500.0,3.0,0.0,86400.0,657.0,131.0,192.0,526.0,11395.4,2488.0,48095.4,12.65,18.15,45250.7,2673.0,3.52,137.371
E,8500.0,3.0,0.0,86400.0,657.0,448.0,467.0,209.0,29323.6,8511.0,48096.8,24.3331,27.225,45216.9,2673.0,7.04,148.343
F,8500.0,3.0,0.0,86400.0,654.0,216.0,262.0,438.0,20163.7,4103.0,48093.3,15.4,18.15,45245.2,2673.0,3.52,137.987
G,8500.0,3.0,0.0,86400.0,653.0,310.0,347.0,343.0,22431.6,5889.0,48098.1,16.775,18.15,45242.5,2673.0,3.52,144.193
A,8000.0,1.0,1.0,86400.0,658.0,105.0,167.0,553.0,9167.99,1994.0,48072.3,35.3222,27.225,45194.9,2673.0,7.04,134.781
B,8000.0,1.0,1.0,86400.0,657.0,256.0,302.0,401.0,16275.0,4863.0,48101.0,9.9,18.15,45256.2,2673.0,3.52,140.254
C,8000.0,1.0,1.0,86400.0,653.0,169.0,228.0,484.0,2226.12,3210.0,48097.6,11.275,18.15,45253.5,2673.0,3.52,138.181
D,8000.0,1.0,1.0,86400.0,653.0,262.0,307.0,391.0,12707.6,4977.0,48100.6,12.65,18.15,45250.7,2673.0,3.52,142.596
E,8000.0,1.0,1.0,86400.0,650.0,621.0,622.0,29.0,24158.0,11798.0,48099.6,32.2652,36.3,45192.8,2673.0,8.8,156.439
F,8000.0,1.0,1.0,86400.0,653.0,255.0,301.0,398.0,9917.69,4844.0,48097.3,15.4,18.15,45245.2,2673.0,3.52,142.024
G,8000.0,1.0,1.0,86400.0,655.0,412.0,436.0,243.0,21713.4,7827.0,48096.7,23.3873,27.225,45218.8,2673.0,7.04,147.227
S,8000.0,1.0,1.0,86400.0,658.0,240.0,287.0,418.0,15432.0,4559.0,48104.5,15.3712,18.15,45243.1,2673.0,5.28,149.684
K,8000.0,1.0,1.0,86400.0,653.0,356.0,388.0,297.0,17297.7,6763.0,48111.4,9.9,18.15,45256.2,2673.0,3.52,150.671
L,8000.0,1.0,1.0,86400.0,652.0,557.0,563.0,95.0,29733.1,10582.0,48117.1,11.275,18.15,45253.5,2673.0,3.52,157.723
M,8000.0,1.0,1.0,86400.0,654.0,333.0,366.0,321.0,15330.6,6326.0,48102.8,12.7475,18.15,45248.3,2673.0,5.28,145.283
N,8000.0,1.0,1.0,86400.0,654.0,301.0,342.0,353.0,11727.5,5718.0,48089.5,32.3212,36.3,45192.7,2673.0,8.8,146.432
A,1500.0,3.0,1.0,86400.0,653.0,125.0,190.0,528.0,1463.51,2374.0,48087.2,11.55,9.075,45261.2,2673.0,1.76,130.674
B,1500.0,3.0,1.0,86400.0,651.0,175.0,234.0,476.0,2871.2,3324.0,48094.2,9.9,18.15,45256.2,2673.0,3.52,133.457
C,1500.0,3.0,1.0,86400.0,653.0,208.0,261.0,445.0,3523.02,3951.0,48081.8,33.2424,36.3,45190.8,2673.0,8.8,139.644
D,1500.0,3.0,1.0,86400.0,653.0,341.0,377.0,312.0,11218.6,6478.0,48085.0,32.0941,36.3,45193.1,2673.0,8.8,141.695
A,8000.0,0.0,1.0,86400.0,651.0,333.0,369.0,318.0,11406.0,6326.0,48109.8,11.55,9.075,45261.2,2673.0,1.76,153.218
B,8000.0,0.0,1.0,86400.0,652.0,350.0,385.0,302.0,10729.0,6649.0,48090.5,32.4973,36.3,45192.3,2673.0,8.8,147.567
C,8000.0,0.0,1.0,86400.0,650.0,357.0,392.0,293.0,6103.11,6782.0,48091.1,28.0207,36.3,45201.3,2673.0,8.8,143.706
D,8000.0,0.0,1.0,86400.0,650.0,381.0,411.0,269.0,9529.81,7238.0,48089.8,32.6265,36.3,45192.0,2673.0,8.8,146.993
E,8000.0,0.0,1.0,86400.0,647.0,521.0,534.0,126.0,10512.5,9898.0,48095.0,32.3826,36.3,45192.5,2673.0,8.8,152.017
S,8000.0,0.0,1.0,86400.0,651.0,422.0,448.0,229.0,12590.1,8017.0,48093.3,35.4031,27.225,45194.7,2673.0,7.04,155.845
K,8000.0,0.0,1.0,86400.0,649.0,554.0,562.0,95.0,17511.6,10525.0,48106.9,20.748,36.3,45215.8,2673.0,8.8,152.275
L,8000.0,0.0,1.0,86400.0,647.0,559.0,568.0,88.0,13295.4,10620.0,48096.9,32.3656,36.3,45192.6,2673.0,8.8,153.9
P,8000.0,0.0,1.0,86400.0,639.0,639.0,639.0,0.0,1798.63,12140.0,48091.4,35.538,27.225,45194.5,2673.0,7.04,154.114
A,2500.0,1.0,0.0,86400.0,652.0,316.0,353.0,336.0,10303.9,6003.0,48084.6,35.5703,27.225,45194.4,2673.0,7.04,147.38
B,2500.0,1.0,0.0,86400.0,653.0,263.0,310.0,390.0,6041.63,4996.0,48081.2,32.4237,36.3,45192.5,2673.0,8.8,138.258
C,2500.0,1.0,0.0,86400.0,645.0,325.0,363.0,320.0,8077.83,6174.0,48101.1,11.275,18.15,45253.5,2673.0,3.52,141.732
D,2500.0,1.0,0.0,86400.0,652.0,403.0,431.0,249.0,12416.2,7656.0,48099.0,19.5079,27.225,45226.5,2673.0,7.04,145.679
F,2500.0,1.0,0.0,86400.0,653.0,268.0,308.0,385.0,11208.2,5091.0,48096.1,11.55,9.075,45261.2,2673.0,1.76,139.564
G,2500.0,1.0,0.0,86400.0,652.0,311.0,351.0,341.0,9505.02,5908.0,48108.4,9.9,18.15,45256.2,2673.0,3.52,147.653
H,2500.0,1.0,0.0,86400.0,651.0,317.0,356.0,334.0,11082.9,6022.0,48101.5,11.275,18.15,45253.5,2673.0,3.52,142.073
N,2500.0,1.0,0.0,86400.0,648.0,269.0,306.0,379.0,11941.1,5110.0,48097.6,11.55,9.075,45261.2,2673.0,1.76,141.1
O,2500.0,1.0,0.0,86400.0,647.0,286.0,331.0,361.0,2925.31,5433.0,48100.7,9.9,18.15,45256.2,2673.0,3.52,139.895
