gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,sensor_latitude,sensor_longitude,sensor_altitude
0,A,500.0,0,0,61.49124555555557,23.75823291666667,0.0
1,B,500.0,0,0,61.4876,23.72447716666667,0.0
2,C,500.0,0,0,61.4876,23.72447716666667,0.0
3,D,500.0,0,0,61.4876,23.72447716666667,0.0
4,E,500.0,0,0,61.473642777777776,23.597026805555554,0.0
5,F,500.0,0,0,61.442388333333334,23.4855235,0.0
6,G,500.0,0,0,61.47026555555557,23.52483741666667,0.0
7,H,500.0,0,0,61.4632775,23.437638638888888,0.0
8,R,500.0,0,0,61.476639722222224,23.33223580555555,0.0
9,S,500.0,0,0,61.40298666666666,23.07322130555556,0.0
10,K,500.0,0,0,61.34970305555557,22.967151277777766,0.0
11,L,500.0,0,0,61.32881833333334,22.84736944444445,0.0
12,M,500.0,0,0,61.26642444444445,22.696800444444445,0.0
13,N,500.0,0,0,61.21319611111112,22.67778783333333,0.0
14,O,500.0,0,0,61.1977488888889,22.64844913888889,0.0
15,P,500.0,0,0,61.27355583333333,22.355416138888888,0.0
0,A,500.0,0,1,61.49124555555557,23.75823291666667,0.0
4,E,500.0,0,1,61.473642777777776,23.597026805555554,0.0
5,F,500.0,0,1,61.442388333333334,23.4855235,0.0
6,G,500.0,0,1,61.47026555555557,23.52483741666667,0.0
7,H,500.0,0,1,61.463277500000004,23.437638638888888,0.0
8,R,500.0,0,1,61.476639722222224,23.33223580555555,0.0
9,S,500.0,0,1,61.40298666666666,23.07322130555556,0.0
10,K,500.0,0,1,61.34970305555557,22.967151277777766,0.0
11,L,500.0,0,1,61.32881833333334,22.84736944444445,0.0
12,M,500.0,0,1,61.26642444444445,22.696800444444445,0.0
13,N,500.0,0,1,61.21319611111112,22.67778783333333,0.0
14,O,500.0,0,1,61.1977488888889,22.64844913888889,0.0
15,P,500.0,0,1,61.27355583333333,22.355416138888888,0.0
0,A,1000.0,0,0,61.49124555555557,23.75823291666667,0.0
0,B,1000.0,0,0,61.4876,23.72447716666667,0.0
0,C,1000.0,0,0,61.4876,23.72447716666667,0.0
0,D,1000.0,0,0,61.4876,23.72447716666667,0.0
6,E,1000.0,0,0,61.473642777777776,23.597026805555554,0.0
7,F,1000.0,0,0,61.442388333333334,23.4855235,0.0
8,G,1000.0,0,0,61.47026555555557,23.52483741666667,0.0
9,H,1000.0,0,0,61.4632775,23.437638638888888,0.0
10,R,1000.0,0,0,61.476639722222224,23.33223580555555,0.0
11,S,1000.0,0,0,61.40298666666666,23.07322130555556,0.0
12,K,1000.0,0,0,61.34970305555557,22.967151277777766,0.0
13,L,1000.0,0,0,61.32881833333334,22.84736944444445,0.0
14,M,1000.0,0,0,61.26642444444445,22.696800444444445,0.0
15,N,1000.0,0,0,61.21319611111112,22.67778783333333,0.0
16,O,1000.0,0,0,61.1977488888889,22.64844913888889,0.0
17,P,1000.0,0,0,61.27355583333333,22.355416138888888,0.0
0,A,1000.0,1,0,61.49124555555557,23.75823291666667,0.0
0,B,1000.0,1,0,61.4876,23.72447716666667,0.0
0,C,1000.0,1,0,61.4876,23.72447716666667,0.0
0,D,1000.0,1,0,61.4876,23.72447716666667,0.0
0,A,1000.0,2,0,61.49124555555557,23.75823291666667,0.0
0,B,1000.0,2,0,61.4876,23.72447716666667,0.0
0,C,1000.0,2,0,61.4876,23.72447716666667,0.0
0,D,1000.0,2,0,61.4876,23.72447716666667,0.0
0,A,1000.0,3,0,61.49124555555557,23.75823291666667,0.0
0,B,1000.0,3,0,61.4876,23.72447716666667,0.0
0,C,1000.0,3,0,61.4876,23.72447716666667,0.0
0,D,1000.0,3,0,61.4876,23.72447716666667,0.0
0,A,1000.0,0,1,61.49124555555557,23.75823291666667,0.0
0,B,1000.0,0,1,61.4876,23.72447716666667,0.0
0,C,1000.0,0,1,61.4876,23.72447716666667,0.0
0,D,1000.0,0,1,61.4876,23.72447716666667,0.0
6,E,1000.0,0,1,61.473642777777776,23.597026805555554,0.0
7,F,1000.0,0,1,61.442388333333334,23.4855235,0.0
8,G,1000.0,0,1,61.47026555555557,23.52483741666667,0.0
9,H,1000.0,0,1,61.4632775,23.437638638888888,0.0
10,R,1000.0,0,1,61.476639722222224,23.33223580555555,0.0
11,S,1000.0,0,1,61.40298666666666,23.07322130555556,0.0
12,K,1000.0,0,1,61.34970305555557,22.967151277777766,0.0
13,L,1000.0,0,1,61.32881833333334,22.84736944444445,0.0
14,M,1000.0,0,1,61.26642444444445,22.696800444444445,0.0
15,N,1000.0,0,1,61.21319611111112,22.67778783333333,0.0
16,O,1000.0,0,1,61.1977488888889,22.64844913888889,0.0
17,P,1000.0,0,1,61.27355583333333,22.355416138888888,0.0
0,A,1000.0,1,1,61.49124555555557,23.75823291666667,0.0
0,B,1000.0,1,1,61.4876,23.72447716666667,0.0
0,C,1000.0,1,1,61.4876,23.72447716666667,0.0
0,D,1000.0,1,1,61.4876,23.72447716666667,0.0
0,A,1000.0,2,1,61.49124555555557,23.75823291666667,0.0
0,B,1000.0,2,1,61.4876,23.72447716666667,0.0
0,C,1000.0,2,1,61.4876,23.72447716666667,0.0
0,D,1000.0,2,1,61.4876,23.72447716666667,0.0
0,A,1000.0,3,1,61.49124555555557,23.75823291666667,0.0
0,B,1000.0,3,1,61.4876,23.72447716666667,0.0
0,C,1000.0,3,1,61.4876,23.72447716666667,0.0
0,D,1000.0,3,1,61.4876,23.72447716666667,0.0
0,A,1500.0,0,0,61.49124555555557,23.75823291666667,0.0
