gw_key,distance_threshold,outlier_threshold,remove_intersections,gw_latitude,gw_longitude,gw_altitude
0,500.0,0,0,61.49124555555557,23.75823291666667,0.0
1,500.0,0,0,61.4876,23.72447716666667,0.0
2,500.0,0,0,61.4876,23.72447716666667,0.0
3,500.0,0,0,61.4876,23.72447716666667,0.0
4,500.0,0,0,61.473642777777776,23.597026805555554,0.0
5,500.0,0,0,61.442388333333334,23.4855235,0.0
6,500.0,0,0,61.47026555555557,23.52483741666667,0.0
7,500.0,0,0,61.4632775,23.437638638888888,0.0
8,500.0,0,0,61.476639722222224,23.33223580555555,0.0
9,500.0,0,0,61.40298666666666,23.07322130555556,0.0
10,500.0,0,0,61.34970305555557,22.967151277777766,0.0
11,500.0,0,0,61.32881833333334,22.84736944444445,0.0
12,500.0,0,0,61.26642444444445,22.696800444444445,0.0
13,500.0,0,0,61.21319611111112,22.67778783333333,0.0
14,500.0,0,0,61.1977488888889,22.64844913888889,0.0
15,500.0,0,0,61.27355583333333,22.355416138888888,0.0
0,500.0,0,1,61.49124555555557,23.75823291666667,0.0
1,500.0,0,1,61.4876,23.72447716666667,0.0
2,500.0,0,1,61.4876,23.72447716666667,0.0
3,500.0,0,1,61.4876,23.72447716666667,0.0
4,500.0,0,1,61.473642777777776,23.597026805555554,0.0
5,500.0,0,1,61.442388333333334,23.4855235,0.0
6,500.0,0,1,61.47026555555557,23.52483741666667,0.0
7,500.0,0,1,61.463277500000004,23.437638638888888,0.0
8,500.0,0,1,61.476639722222224,23.33223580555555,0.0
9,500.0,0,1,61.40298666666666,23.07322130555556,0.0
10,500.0,0,1,61.34970305555557,22.967151277777766,0.0
11,500.0,0,1,61.32881833333334,22.84736944444445,0.0
12,500.0,0,1,61.26642444444445,22.696800444444445,0.0
13,500.0,0,1,61.21319611111112,22.67778783333333,0.0
14,500.0,0,1,61.1977488888889,22.64844913888889,0.0
15,500.0,0,1,61.27355583333333,22.355416138888888,0.0
0,1000.0,0,0,61.48942381046602,23.7413538682558,0.0
6,1000.0,0,0,61.473642777777776,23.597026805555554,0.0
7,1000.0,0,0,61.442388333333334,23.4855235,0.0
8,1000.0,0,0,61.47026555555557,23.52483741666667,0.0
9,1000.0,0,0,61.4632775,23.437638638888888,0.0
10,1000.0,0,0,61.476639722222224,23.33223580555555,0.0
11,1000.0,0,0,61.40298666666666,23.07322130555556,0.0
12,1000.0,0,0,61.34970305555557,22.967151277777766,0.0
13,1000.0,0,0,61.32881833333334,22.84736944444445,0.0
14,1000.0,0,0,61.26642444444445,22.696800444444445,0.0
15,1000.0,0,0,61.21319611111112,22.67778783333333,0.0
16,1000.0,0,0,61.1977488888889,22.64844913888889,0.0
17,1000.0,0,0,61.27355583333333,22.355416138888888,0.0
0,1000.0,1,0,61.48942381046602,23.7413538682558,0.0
0,1000.0,2,0,61.48942381046602,23.7413538682558,0.0
0,1000.0,3,0,61.48942381046602,23.7413538682558,0.0
0,1000.0,0,1,61.48942381046602,23.7413538682558,0.0
6,1000.0,0,1,61.473642777777776,23.597026805555554,0.0
7,1000.0,0,1,61.442388333333334,23.4855235,0.0
8,1000.0,0,1,61.47026555555557,23.52483741666667,0.0
9,1000.0,0,1,61.4632775,23.437638638888888,0.0
10,1000.0,0,1,61.476639722222224,23.33223580555555,0.0
11,1000.0,0,1,61.40298666666666,23.07322130555556,0.0
12,1000.0,0,1,61.34970305555557,22.967151277777766,0.0
13,1000.0,0,1,61.32881833333334,22.84736944444445,0.0
14,1000.0,0,1,61.26642444444445,22.696800444444445,0.0
15,1000.0,0,1,61.21319611111112,22.67778783333333,0.0
16,1000.0,0,1,61.1977488888889,22.64844913888889,0.0
17,1000.0,0,1,61.27355583333333,22.355416138888888,0.0
0,1000.0,1,1,61.48942381046602,23.7413538682558,0.0
0,1000.0,2,1,61.48942381046602,23.7413538682558,0.0
0,1000.0,3,1,61.48942381046602,23.7413538682558,0.0
0,1500.0,0,0,61.48942373126218,23.741352401491927,0.0
8,1500.0,0,0,61.473642777777776,23.597026805555554,0.0
9,1500.0,0,0,61.442388333333334,23.4855235,0.0
10,1500.0,0,0,61.47026555555557,23.52483741666667,0.0
11,1500.0,0,0,61.4632775,23.437638638888888,0.0
12,1500.0,0,0,61.476639722222224,23.33223580555555,0.0
13,1500.0,0,0,61.40298666666666,23.07322130555556,0.0
14,1500.0,0,0,61.34970305555557,22.967151277777766,0.0
15,1500.0,0,0,61.32881833333334,22.84736944444445,0.0
16,1500.0,0,0,61.26642444444445,22.696800444444445,0.0
6,1500.0,0,0,61.20547266480408,22.663112503275194,0.0
17,1500.0,0,0,61.27355583333333,22.355416138888888,0.0
0,1500.0,1,0,61.48942373126218,23.741352401491927,0.0
6,1500.0,1,0,61.20547266480408,22.663112503275194,0.0
0,1500.0,2,0,61.48942373126218,23.741352401491927,0.0
0,1500.0,3,0,61.48942373126218,23.741352401491927,0.0
0,1500.0,0,1,61.48942373126218,23.741352401491927,0.0
8,1500.0,0,1,61.473642777777776,23.597026805555554,0.0
9,1500.0,0,1,61.442388333333334,23.4855235,0.0
10,1500.0,0,1,61.47026555555557,23.52483741666667,0.0
11,1500.0,0,1,61.4632775,23.437638638888888,0.0
12,1500.0,0,1,61.476639722222224,23.33223580555555,0.0
13,1500.0,0,1,61.40298666666666,23.07322130555556,0.0
14,1500.0,0,1,61.34970305555557,22.967151277777766,0.0
15,1500.0,0,1,61.32881833333334,22.84736944444445,0.0
16,1500.0,0,1,61.26642444444445,22.696800444444445,0.0
6,1500.0,0,1,61.20547266480408,22.663112503275194,0.0
17,1500.0,0,1,61.27355583333333,22.355416138888888,0.0
0,1500.0,1,1,61.48942373126218,23.741352401491927,0.0
6,1500.0,1,1,61.20547266480408,22.663112503275194,0.0
0,1500.0,2,1,61.48942373126218,23.741352401491927,0.0
0,1500.0,3,1,61.48942373126218,23.741352401491927,0.0
0,2000.0,0,0,61.489423620376776,23.741350348021946,0.0
6,2000.0,0,0,61.47195893359653,23.560929998047232,0.0
8,2000.0,0,0,61.442388333333334,23.4855235,0.0
10,2000.0,0,0,61.4632775,23.437638638888888,0.0
14,2000.0,0,0,61.476639722222224,23.33223580555555,0.0
15,2000.0,0,0,61.40298666666666,23.07322130555556,0.0
16,2000.0,0,0,61.34970305555557,22.967151277777766,0.0
17,2000.0,0,0,61.32881833333334,22.84736944444445,0.0
18,2000.0,0,0,61.26642444444445,22.696800444444445,0.0
12,2000.0,0,0,61.20547143978649,22.663107849958447,0.0
19,2000.0,0,0,61.27355583333333,22.355416138888888,0.0
0,2000.0,1,0,61.489423620376776,23.741350348021946,0.0
6,2000.0,1,0,61.47195893359653,23.560929998047232,0.0
12,2000.0,1,0,61.20547143978649,22.663107849958447,0.0
0,2000.0,2,0,61.489423620376776,23.741350348021946,0.0
0,2000.0,3,0,61.489423620376776,23.741350348021946,0.0
0,2000.0,0,1,61.489423620376776,23.741350348021946,0.0
6,2000.0,0,1,61.47195893359653,23.560929998047232,0.0
8,2000.0,0,1,61.442388333333334,23.4855235,0.0
10,2000.0,0,1,61.4632775,23.437638638888888,0.0
14,2000.0,0,1,61.476639722222224,23.33223580555555,0.0
15,2000.0,0,1,61.40298666666666,23.07322130555556,0.0
16,2000.0,0,1,61.34970305555557,22.967151277777766,0.0
17,2000.0,0,1,61.32881833333334,22.84736944444445,0.0
18,2000.0,0,1,61.26642444444445,22.696800444444445,0.0
12,2000.0,0,1,61.20547143978649,22.663107849958447,0.0
