gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,sensor_latitude,sensor_longitude,sensor_altitude
0,m1,500.0,0,0,0.001,41.090138888888895,27.46905555555556,118.0
1,t4,500.0,0,0,0.001,41.357527777777776,27.387416666666667,41.0
2,t6,500.0,0,0,0.001,41.34030555555556,27.26763888888889,44.0
3,t9,500.0,0,0,0.001,41.36775,27.14011111111111,42.0
4,t12-2,500.0,0,0,0.001,41.078138888888894,27.076527777777777,31.0
5,t12-5,500.0,0,0,0.001,41.364694444444446,27.061805555555555,38.0
6,t13-3,500.0,0,0,0.001,41.38247222222222,26.91186111111111,34.0
7,t13-4,500.0,0,0,0.001,41.34858333333334,26.886416666666666,22.0
8,t16,500.0,0,0,0.001,41.250638888888886,26.644944444444445,12.0
9,t17,500.0,0,0,0.001,41.20663888888889,26.60794444444445,11.0
10,m9,500.0,0,0,0.001,41.34791666666667,27.28786111111112,45.0
11,m11,500.0,0,0,0.001,41.3535,27.080111111111112,46.0
12,m14,500.0,0,0,0.001,41.324333333333335,26.82922222222222,18.0
13,m15,500.0,0,0,0.001,41.28483333333333,26.69877777777777,24.0
14,cc10,500.0,0,0,0.001,41.142472222222224,27.599138888888888,89.0
15,m7,500.0,0,0,0.001,41.352,27.35163888888889,48.0
16,cc7,500.0,0,0,0.001,41.18147222222222,27.813305555555555,136.0
17,cc6,500.0,0,0,0.001,41.20744444444445,27.86411111111111,150.0
18,cc2,500.0,0,0,0.001,41.293416666666666,27.944222222222223,154.0
19,cc4,500.0,0,0,0.001,41.20252777777778,27.82125,119.0
20,ec5,500.0,0,0,0.001,41.22958333333334,27.64325,83.0
21,t2-2,500.0,0,0,0.001,41.29263888888889,27.503444444444444,55.0
22,t5-1,500.0,0,0,0.001,41.42869444444444,27.36730555555556,62.0
23,t11-2,500.0,0,0,0.001,40.921416666666666,26.925944444444447,129.0
24,cc9,500.0,0,0,0.001,41.17636111111111,27.76452777777778,115.0
25,cc1,500.0,0,0,0.001,41.27316666666667,27.96463888888889,142.0
26,t7-1,500.0,0,0,0.001,41.41822222222222,27.219555555555555,53.0
27,ec3,500.0,0,0,0.001,41.25669444444444,27.735666666666667,106.0
28,m17,500.0,0,0,0.001,41.129583333333336,26.480055555555555,19.0
29,t11-3,500.0,0,0,0.001,41.09194444444445,27.086666666666662,69.0
0,m1,500.0,0,1,0.001,41.090138888888895,27.46905555555556,118.0
1,t4,500.0,0,1,0.001,41.357527777777776,27.387416666666667,41.0
2,t6,500.0,0,1,0.001,41.34030555555556,27.26763888888889,44.0
3,t9,500.0,0,1,0.001,41.36775,27.14011111111111,42.0
4,t12-2,500.0,0,1,0.001,41.078138888888894,27.076527777777777,31.0
5,t12-5,500.0,0,1,0.001,41.364694444444446,27.061805555555555,38.0
6,t13-3,500.0,0,1,0.001,41.38247222222222,26.91186111111111,34.0
7,t13-4,500.0,0,1,0.001,41.34858333333334,26.886416666666666,22.0
8,t16,500.0,0,1,0.001,41.250638888888886,26.644944444444445,12.0
9,t17,500.0,0,1,0.001,41.20663888888889,26.60794444444445,11.0
10,m9,500.0,0,1,0.001,41.34791666666667,27.28786111111112,45.0
