Parameters	Latitude	Longitude	Elevation
D01A008	41.0°21.0'2.9988000000012107"	27.0°21.0'6.001199999998789"	43
D01A020	41.0°12.0'7.999199999991106"	27.0°28.0'36.00119999999879"	64
D01A031	41.0°38.0'4.999199999991106"	27.0°39.0'14.000400000004447"	276
D01A052	41.0°24.0'0.0"	27.0°58.0'0.0011999999987892807"	141
D01A057	40.0°51.0'50.000399999989895"	26.0°14.0'20.000400000004447"	4
D01A063	41.0°29.0'49.999199999991106"	27.0°56.0'39.998399999996764"	189
E01A001	41.0°25.0'40.000800000008894"	27.0°6.0'0.0"	48
E01A006	41.0°12.0'36.0"	27.0°7.0'5.001600000003236"	41
E01A011	41.0°18.0'20.00160000001779"	27.0°36.0'29.001600000003236"	78
E01A012	41.0°7.0'46.999199999991106"	26.0°28.0'48.0"	8
E01A018	41.0°18.0'36.0"	27.0°47.0'15.0"	103
