gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,sensor_latitude,sensor_longitude,sensor_altitude
0,D01A008,500.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,D01A020,500.0,0,0,0.0,41.202222,27.476667,64.0
2,D01A031,500.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,D01A052,500.0,0,0,0.0,41.4,27.966667,141.0
4,D01A057,500.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,D01A063,500.0,0,0,0.0,41.497222,27.944444,189.0
6,E01A001,500.0,0,0,0.0,41.427778,27.1,48.0
7,E01A006,500.0,0,0,0.0,41.21,27.11805600000001,41.0
8,E01A011,500.0,0,0,0.0,41.305556,27.608056,78.0
9,E01A012,500.0,0,0,0.0,41.129721999999994,26.48,8.0
10,E01A018,500.0,0,0,0.0,41.31,27.7875,103.0
0,D01A008,500.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,D01A020,500.0,0,1,0.0,41.202222,27.476667,64.0
2,D01A031,500.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,D01A052,500.0,0,1,0.0,41.4,27.966666999999998,141.0
4,D01A057,500.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,D01A063,500.0,0,1,0.0,41.497222,27.944444,189.0
6,E01A001,500.0,0,1,0.0,41.427778,27.1,48.0
7,E01A006,500.0,0,1,0.0,41.21,27.11805600000001,41.0
8,E01A011,500.0,0,1,0.0,41.305556,27.608056,78.0
9,E01A012,500.0,0,1,0.0,41.129722,26.48,8.0
10,E01A018,500.0,0,1,0.0,41.31,27.7875,103.0
0,D01A008,1000.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,D01A020,1000.0,0,0,0.0,41.202222,27.476667,64.0
2,D01A031,1000.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,D01A052,1000.0,0,0,0.0,41.4,27.966667,141.0
4,D01A057,1000.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,D01A063,1000.0,0,0,0.0,41.497222,27.944444,189.0
6,E01A001,1000.0,0,0,0.0,41.427778,27.1,48.0
7,E01A006,1000.0,0,0,0.0,41.21,27.11805600000001,41.0
8,E01A011,1000.0,0,0,0.0,41.305556,27.608056,78.0
9,E01A012,1000.0,0,0,0.0,41.129721999999994,26.48,8.0
10,E01A018,1000.0,0,0,0.0,41.31,27.7875,103.0
0,D01A008,1000.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,D01A020,1000.0,0,1,0.0,41.202222,27.476667,64.0
2,D01A031,1000.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,D01A052,1000.0,0,1,0.0,41.4,27.966666999999998,141.0
4,D01A057,1000.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,D01A063,1000.0,0,1,0.0,41.497222,27.944444,189.0
6,E01A001,1000.0,0,1,0.0,41.427778,27.1,48.0
7,E01A006,1000.0,0,1,0.0,41.21,27.11805600000001,41.0
8,E01A011,1000.0,0,1,0.0,41.305556,27.608056,78.0
9,E01A012,1000.0,0,1,0.0,41.129722,26.48,8.0
10,E01A018,1000.0,0,1,0.0,41.31,27.7875,103.0
0,D01A008,1500.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,D01A020,1500.0,0,0,0.0,41.202222,27.476667,64.0
2,D01A031,1500.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,D01A052,1500.0,0,0,0.0,41.4,27.966667,141.0
4,D01A057,1500.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,D01A063,1500.0,0,0,0.0,41.497222,27.944444,189.0
6,E01A001,1500.0,0,0,0.0,41.427778,27.1,48.0
7,E01A006,1500.0,0,0,0.0,41.21,27.11805600000001,41.0
8,E01A011,1500.0,0,0,0.0,41.305556,27.608056,78.0
9,E01A012,1500.0,0,0,0.0,41.129721999999994,26.48,8.0
10,E01A018,1500.0,0,0,0.0,41.31,27.7875,103.0
0,D01A008,1500.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,D01A020,1500.0,0,1,0.0,41.202222,27.476667,64.0
2,D01A031,1500.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,D01A052,1500.0,0,1,0.0,41.4,27.966666999999998,141.0
4,D01A057,1500.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,D01A063,1500.0,0,1,0.0,41.497222,27.944444,189.0
6,E01A001,1500.0,0,1,0.0,41.427778,27.1,48.0
7,E01A006,1500.0,0,1,0.0,41.21,27.11805600000001,41.0
8,E01A011,1500.0,0,1,0.0,41.305556,27.608056,78.0
9,E01A012,1500.0,0,1,0.0,41.129722,26.48,8.0
10,E01A018,1500.0,0,1,0.0,41.31,27.7875,103.0
0,D01A008,2000.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,D01A020,2000.0,0,0,0.0,41.202222,27.476667,64.0
2,D01A031,2000.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,D01A052,2000.0,0,0,0.0,41.4,27.966667,141.0
4,D01A057,2000.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,D01A063,2000.0,0,0,0.0,41.497222,27.944444,189.0
6,E01A001,2000.0,0,0,0.0,41.427778,27.1,48.0
7,E01A006,2000.0,0,0,0.0,41.21,27.11805600000001,41.0
8,E01A011,2000.0,0,0,0.0,41.305556,27.608056,78.0
9,E01A012,2000.0,0,0,0.0,41.129721999999994,26.48,8.0
10,E01A018,2000.0,0,0,0.0,41.31,27.7875,103.0
0,D01A008,2000.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,D01A020,2000.0,0,1,0.0,41.202222,27.476667,64.0
2,D01A031,2000.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,D01A052,2000.0,0,1,0.0,41.4,27.966666999999998,141.0
4,D01A057,2000.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,D01A063,2000.0,0,1,0.0,41.497222,27.944444,189.0
6,E01A001,2000.0,0,1,0.0,41.427778,27.1,48.0
7,E01A006,2000.0,0,1,0.0,41.21,27.11805600000001,41.0
8,E01A011,2000.0,0,1,0.0,41.305556,27.608056,78.0
9,E01A012,2000.0,0,1,0.0,41.129722,26.48,8.0
10,E01A018,2000.0,0,1,0.0,41.31,27.7875,103.0
0,D01A008,2500.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,D01A020,2500.0,0,0,0.0,41.202222,27.476667,64.0
2,D01A031,2500.0,0,0,0.0,41.634722,27.653889000000003,276.0
