gw_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,gw_latitude,gw_longitude,gw_altitude
6,2500.0,0,1,0.0,41.427778,27.1,48.0
7,2500.0,0,1,0.0,41.21,27.11805600000001,41.0
8,2500.0,0,1,0.0,41.305556,27.608056,78.0
9,2500.0,0,1,0.0,41.129722,26.48,8.0
10,2500.0,0,1,0.0,41.31,27.7875,103.0
0,3000.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,3000.0,0,0,0.0,41.202222,27.476667,64.0
2,3000.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,3000.0,0,0,0.0,41.4,27.966667,141.0
4,3000.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,3000.0,0,0,0.0,41.497222,27.944444,189.0
6,3000.0,0,0,0.0,41.427778,27.1,48.0
7,3000.0,0,0,0.0,41.21,27.11805600000001,41.0
8,3000.0,0,0,0.0,41.305556,27.608056,78.0
9,3000.0,0,0,0.0,41.129721999999994,26.48,8.0
10,3000.0,0,0,0.0,41.31,27.7875,103.0
0,3000.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,3000.0,0,1,0.0,41.202222,27.476667,64.0
2,3000.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,3000.0,0,1,0.0,41.4,27.966666999999998,141.0
4,3000.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,3000.0,0,1,0.0,41.497222,27.944444,189.0
6,3000.0,0,1,0.0,41.427778,27.1,48.0
7,3000.0,0,1,0.0,41.21,27.11805600000001,41.0
8,3000.0,0,1,0.0,41.305556,27.608056,78.0
9,3000.0,0,1,0.0,41.129722,26.48,8.0
10,3000.0,0,1,0.0,41.31,27.7875,103.0
0,3500.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,3500.0,0,0,0.0,41.202222,27.476667,64.0
2,3500.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,3500.0,0,0,0.0,41.4,27.966667,141.0
4,3500.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,3500.0,0,0,0.0,41.497222,27.944444,189.0
6,3500.0,0,0,0.0,41.427778,27.1,48.0
7,3500.0,0,0,0.0,41.21,27.11805600000001,41.0
8,3500.0,0,0,0.0,41.305556,27.608056,78.0
9,3500.0,0,0,0.0,41.129721999999994,26.48,8.0
10,3500.0,0,0,0.0,41.31,27.7875,103.0
0,3500.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,3500.0,0,1,0.0,41.202222,27.476667,64.0
2,3500.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,3500.0,0,1,0.0,41.4,27.966666999999998,141.0
4,3500.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,3500.0,0,1,0.0,41.497222,27.944444,189.0
6,3500.0,0,1,0.0,41.427778,27.1,48.0
7,3500.0,0,1,0.0,41.21,27.11805600000001,41.0
8,3500.0,0,1,0.0,41.305556,27.608056,78.0
9,3500.0,0,1,0.0,41.129722,26.48,8.0
10,3500.0,0,1,0.0,41.31,27.7875,103.0
0,4000.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,4000.0,0,0,0.0,41.202222,27.476667,64.0
2,4000.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,4000.0,0,0,0.0,41.4,27.966667,141.0
4,4000.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,4000.0,0,0,0.0,41.497222,27.944444,189.0
6,4000.0,0,0,0.0,41.427778,27.1,48.0
7,4000.0,0,0,0.0,41.21,27.11805600000001,41.0
8,4000.0,0,0,0.0,41.305556,27.608056,78.0
9,4000.0,0,0,0.0,41.129721999999994,26.48,8.0
10,4000.0,0,0,0.0,41.31,27.7875,103.0
0,4000.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,4000.0,0,1,0.0,41.202222,27.476667,64.0
2,4000.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,4000.0,0,1,0.0,41.4,27.966666999999998,141.0
4,4000.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,4000.0,0,1,0.0,41.497222,27.944444,189.0
6,4000.0,0,1,0.0,41.427778,27.1,48.0
7,4000.0,0,1,0.0,41.21,27.11805600000001,41.0
8,4000.0,0,1,0.0,41.305556,27.608056,78.0
9,4000.0,0,1,0.0,41.129722,26.48,8.0
10,4000.0,0,1,0.0,41.31,27.7875,103.0
0,4500.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,4500.0,0,0,0.0,41.202222,27.476667,64.0
2,4500.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,4500.0,0,0,0.0,41.4,27.966667,141.0
4,4500.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,4500.0,0,0,0.0,41.497222,27.944444,189.0
6,4500.0,0,0,0.0,41.427778,27.1,48.0
7,4500.0,0,0,0.0,41.21,27.11805600000001,41.0
8,4500.0,0,0,0.0,41.305556,27.608056,78.0
9,4500.0,0,0,0.0,41.129721999999994,26.48,8.0
10,4500.0,0,0,0.0,41.31,27.7875,103.0
0,4500.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,4500.0,0,1,0.0,41.202222,27.476667,64.0
2,4500.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,4500.0,0,1,0.0,41.4,27.966666999999998,141.0
4,4500.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,4500.0,0,1,0.0,41.497222,27.944444,189.0
6,4500.0,0,1,0.0,41.427778,27.1,48.0
7,4500.0,0,1,0.0,41.21,27.11805600000001,41.0
8,4500.0,0,1,0.0,41.305556,27.608056,78.0
9,4500.0,0,1,0.0,41.129722,26.48,8.0
10,4500.0,0,1,0.0,41.31,27.7875,103.0
0,5000.0,0,0,0.0,41.350833,27.35166700000001,43.0
1,5000.0,0,0,0.0,41.202222,27.476667,64.0
2,5000.0,0,0,0.0,41.634722,27.653889000000003,276.0
3,5000.0,0,0,0.0,41.4,27.966667,141.0
4,5000.0,0,0,0.0,40.863889,26.238889000000004,4.0
5,5000.0,0,0,0.0,41.497222,27.944444,189.0
6,5000.0,0,0,0.0,41.427778,27.1,48.0
7,5000.0,0,0,0.0,41.21,27.11805600000001,41.0
8,5000.0,0,0,0.0,41.305556,27.608056,78.0
9,5000.0,0,0,0.0,41.129721999999994,26.48,8.0
10,5000.0,0,0,0.0,41.31,27.7875,103.0
0,5000.0,0,1,0.0,41.350833,27.35166700000001,43.0
1,5000.0,0,1,0.0,41.202222,27.476667,64.0
2,5000.0,0,1,0.0,41.634722,27.653889000000003,276.0
3,5000.0,0,1,0.0,41.4,27.966666999999998,141.0
4,5000.0,0,1,0.0,40.863889,26.238889000000004,4.0
5,5000.0,0,1,0.0,41.497222,27.944444,189.0
6,5000.0,0,1,0.0,41.427778,27.1,48.0
7,5000.0,0,1,0.0,41.21,27.11805600000001,41.0
8,5000.0,0,1,0.0,41.305556,27.608056,78.0
9,5000.0,0,1,0.0,41.129722,26.48,8.0
10,5000.0,0,1,0.0,41.31,27.7875,103.0
2,5500.0,0,0,0.0,41.350833,27.35166700000001,43.0
3,5500.0,0,0,0.0,41.202222,27.476667,64.0
4,5500.0,0,0,0.0,41.634722,27.653889000000003,276.0
0,5500.0,0,0,0.0,41.44861140382835,27.95556388523541,165.0
5,5500.0,0,0,0.0,40.863889,26.238889000000004,4.0
6,5500.0,0,0,0.0,41.427778,27.1,48.0
7,5500.0,0,0,0.0,41.21,27.11805600000001,41.0
8,5500.0,0,0,0.0,41.305556,27.608056,78.0
9,5500.0,0,0,0.0,41.129721999999994,26.48,8.0
10,5500.0,0,0,0.0,41.31,27.7875,103.0
0,5500.0,1,0,0.0,41.44861140382835,27.95556388523541,165.0
2,5500.0,0,1,0.0,41.350833,27.35166700000001,43.0
3,5500.0,0,1,0.0,41.202222,27.476667,64.0
4,5500.0,0,1,0.0,41.634722,27.653889000000003,276.0
0,5500.0,0,1,0.0,41.44861140382835,27.95556388523541,165.0
5,5500.0,0,1,0.0,40.863889,26.238889000000004,4.0
6,5500.0,0,1,0.0,41.427778,27.1,48.0
7,5500.0,0,1,0.0,41.21,27.11805600000001,41.0
8,5500.0,0,1,0.0,41.305556,27.608056,78.0
9,5500.0,0,1,0.0,41.129721999999994,26.48,8.0
10,5500.0,0,1,0.0,41.31,27.7875,103.0
0,5500.0,1,1,0.0,41.44861140382835,27.95556388523541,165.0
2,6000.0,0,0,0.0,41.350833,27.35166700000001,43.0
3,6000.0,0,0,0.0,41.202222,27.476667,64.0
4,6000.0,0,0,0.0,41.634722,27.653889000000003,276.0
0,6000.0,0,0,0.0,41.4474266392572,27.940218211578607,165.0
5,6000.0,0,0,0.0,40.863889,26.238889000000004,4.0
6,6000.0,0,0,0.0,41.427778,27.1,48.0
7,6000.0,0,0,0.0,41.21,27.11805600000001,41.0
8,6000.0,0,0,0.0,41.305556,27.608056,78.0
9,6000.0,0,0,0.0,41.129721999999994,26.48,8.0
10,6000.0,0,0,0.0,41.31,27.7875,103.0
0,6000.0,1,0,0.0,41.4474266392572,27.940218211578607,165.0
2,6000.0,0,1,0.0,41.350833,27.35166700000001,43.0
3,6000.0,0,1,0.0,41.202222,27.476667,64.0
4,6000.0,0,1,0.0,41.634722,27.653889000000003,276.0
0,6000.0,0,1,0.0,41.4474266392572,27.940218211578607,165.0
5,6000.0,0,1,0.0,40.863889,26.238889000000004,4.0
6,6000.0,0,1,0.0,41.427778,27.1,48.0
7,6000.0,0,1,0.0,41.21,27.11805600000001,41.0
8,6000.0,0,1,0.0,41.305556,27.608056,78.0
9,6000.0,0,1,0.0,41.129721999999994,26.48,8.0
10,6000.0,0,1,0.0,41.31,27.7875,103.0
0,6000.0,1,1,0.0,41.4474266392572,27.940218211578607,165.0
2,6500.0,0,0,0.0,41.350833,27.35166700000001,43.0
3,6500.0,0,0,0.0,41.202222,27.476667,64.0
4,6500.0,0,0,0.0,41.634722,27.653889000000003,276.0
0,6500.0,0,0,0.0,41.44623648789256,27.939423489529037,165.0
5,6500.0,0,0,0.0,40.863889,26.238889000000004,4.0
6,6500.0,0,0,0.0,41.427778,27.1,48.0
7,6500.0,0,0,0.0,41.21,27.11805600000001,41.0
8,6500.0,0,0,0.0,41.305556,27.608056,78.0
9,6500.0,0,0,0.0,41.129721999999994,26.48,8.0
10,6500.0,0,0,0.0,41.31,27.7875,103.0
0,6500.0,1,0,0.0,41.44623648789256,27.939423489529037,165.0
2,6500.0,0,1,0.0,41.350833,27.35166700000001,43.0
3,6500.0,0,1,0.0,41.202222,27.476667,64.0
4,6500.0,0,1,0.0,41.634722,27.653889000000003,276.0
0,6500.0,0,1,0.0,41.44623648789256,27.939423489529037,165.0
5,6500.0,0,1,0.0,40.863889,26.238889000000004,4.0
6,6500.0,0,1,0.0,41.427778,27.1,48.0
7,6500.0,0,1,0.0,41.21,27.11805600000001,41.0
8,6500.0,0,1,0.0,41.305556,27.608056,78.0
9,6500.0,0,1,0.0,41.129721999999994,26.48,8.0
10,6500.0,0,1,0.0,41.31,27.7875,103.0
0,6500.0,1,1,0.0,41.44623648789256,27.939423489529037,165.0
2,7000.0,0,0,0.0,41.350833,27.35166700000001,43.0
3,7000.0,0,0,0.0,41.202222,27.476667,64.0
4,7000.0,0,0,0.0,41.634722,27.653889000000003,276.0
0,7000.0,0,0,0.0,41.44575752234797,27.939153905328368,165.0
5,7000.0,0,0,0.0,40.863889,26.238889000000004,4.0
6,7000.0,0,0,0.0,41.427778,27.1,48.0
7,7000.0,0,0,0.0,41.21,27.11805600000001,41.0
8,7000.0,0,0,0.0,41.305556,27.608056,78.0
9,7000.0,0,0,0.0,41.129721999999994,26.48,8.0
10,7000.0,0,0,0.0,41.31,27.7875,103.0
0,7000.0,1,0,0.0,41.44575752234797,27.939153905328368,165.0
2,7000.0,0,1,0.0,41.350833,27.35166700000001,43.0
3,7000.0,0,1,0.0,41.202222,27.476667,64.0
4,7000.0,0,1,0.0,41.634722,27.653889000000003,276.0
0,7000.0,0,1,0.0,41.44575752234797,27.939153905328368,165.0
5,7000.0,0,1,0.0,40.863889,26.238889000000004,4.0
6,7000.0,0,1,0.0,41.427778,27.1,48.0
7,7000.0,0,1,0.0,41.21,27.11805600000001,41.0
8,7000.0,0,1,0.0,41.305556,27.608056,78.0
9,7000.0,0,1,0.0,41.129721999999994,26.48,8.0
10,7000.0,0,1,0.0,41.31,27.7875,103.0
0,7000.0,1,1,0.0,41.44575752234797,27.939153905328368,165.0
4,7500.0,0,0,0.0,41.350833,27.35166700000001,43.0
5,7500.0,0,0,0.0,41.202222,27.476667,64.0
6,7500.0,0,0,0.0,41.634722,27.653889000000003,276.0
0,7500.0,0,0,0.0,41.44662209580756,27.94136604975085,165.0
7,7500.0,0,0,0.0,40.863889,26.238889000000004,4.0
8,7500.0,0,0,0.0,41.427778,27.1,48.0
9,7500.0,0,0,0.0,41.21,27.11805600000001,41.0
2,7500.0,0,0,0.0,41.307812833539415,27.697774936773314,90.5
10,7500.0,0,0,0.0,41.129721999999994,26.48,8.0
0,7500.0,1,0,0.0,41.44662209580756,27.94136604975085,165.0
2,7500.0,1,0,0.0,41.307812833539415,27.697774936773314,90.5
4,7500.0,0,1,0.0,41.350833,27.35166700000001,43.0
5,7500.0,0,1,0.0,41.202222,27.476667,64.0
6,7500.0,0,1,0.0,41.634722,27.653889000000003,276.0
0,7500.0,0,1,0.0,41.44662209580756,27.94136604975085,165.0
7,7500.0,0,1,0.0,40.863889,26.238889000000004,4.0
8,7500.0,0,1,0.0,41.427778,27.1,48.0
