sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J)
ec6,10000.0,1.0,0.0,0.3,86400.0,658.0,307.0,345.0,351.0,21237.9,5832.0,48094.7,23.3078,36.3,45210.7,2673.0,8.8,142.621
ec4,10000.0,1.0,0.0,0.3,86400.0,654.0,425.0,448.0,229.0,22742.6,8074.0,48105.0,14.025,18.15,45248.0,2673.0,3.52,148.37
cc1,10000.0,1.0,0.0,0.3,86400.0,651.0,522.0,534.0,129.0,20242.2,9917.0,48095.5,32.4419,36.3,45192.4,2673.0,8.8,152.508
t3-2,10000.0,1.0,0.0,0.3,86400.0,655.0,380.0,410.0,275.0,18410.7,7219.0,48100.6,26.6521,36.3,45204.0,2673.0,8.8,151.861
t7-1,10000.0,1.0,0.0,0.3,86400.0,653.0,345.0,381.0,308.0,12147.8,6554.0,48088.1,30.4538,36.3,45196.4,2673.0,8.8,143.127
t4,8500.0,0.0,1.0,0.001,86400.0,645.0,549.0,554.0,96.0,26049.9,10430.0,48115.0,11.55,9.075,45261.2,2673.0,1.76,158.427
t6,8500.0,0.0,1.0,0.001,86400.0,655.0,562.0,570.0,93.0,37357.1,10677.0,48115.1,11.55,9.075,45261.2,2673.0,1.76,158.591
t7-2,8500.0,0.0,1.0,0.001,86400.0,655.0,524.0,532.0,131.0,32972.3,9955.0,48099.0,32.1101,36.3,45193.1,2673.0,8.8,155.684
t12-5,8500.0,0.0,1.0,0.001,86400.0,655.0,453.0,473.0,202.0,26865.9,8606.0,48112.0,11.55,9.075,45261.2,2673.0,1.76,155.466
m2,8500.0,0.0,1.0,0.001,86400.0,660.0,376.0,407.0,284.0,27619.8,7143.0,48105.0,12.65,9.075,45256.8,2673.0,3.52,149.988
m4,8500.0,0.0,1.0,0.001,86400.0,657.0,588.0,592.0,69.0,34563.9,11171.0,48116.5,10.9746,18.15,45251.9,2673.0,5.28,157.235
m12,8500.0,0.0,1.0,0.001,86400.0,653.0,526.0,535.0,127.0,33193.2,9993.0,48118.7,9.9,18.15,45256.2,2673.0,3.52,157.923
m16,8500.0,0.0,1.0,0.001,86400.0,649.0,592.0,595.0,57.0,21265.3,11247.0,48094.5,35.656,27.225,45194.2,2673.0,7.04,157.39
t13-1,8500.0,0.0,1.0,0.001,86400.0,655.0,387.0,411.0,268.0,25997.2,7352.0,48085.6,35.5777,27.225,45194.4,2673.0,7.04,148.378
t8-1,8500.0,0.0,1.0,0.001,86400.0,650.0,606.0,609.0,44.0,26943.6,11513.0,48121.0,11.55,9.075,45261.2,2673.0,1.76,164.417
t12-3,8500.0,0.0,1.0,0.001,86400.0,656.0,505.0,521.0,151.0,27836.1,9594.0,48094.8,32.3499,36.3,45192.6,2673.0,8.8,151.776
cc6,8500.0,0.0,1.0,0.001,86400.0,658.0,394.0,417.0,264.0,31595.2,7485.0,48093.4,35.6277,27.225,45194.3,2673.0,7.04,156.237
cc2,8500.0,0.0,1.0,0.001,86400.0,657.0,233.0,276.0,424.0,19476.1,4426.0,48090.5,35.5211,27.225,45194.5,2673.0,7.04,153.171
cc3,8500.0,0.0,1.0,0.001,86400.0,657.0,453.0,471.0,204.0,30082.9,8606.0,48097.9,32.1461,36.3,45193.0,2673.0,8.8,154.611
